Table A-97:  Emission Factors for N2O Emissions from Non-Road Mobile Combustion (g/kg fuel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ships and Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual Fuel Oil,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088
Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Stroke,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.026,0.026,0.026,0.027,0.027,0.027,0.027
4 Stroke,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Distillate Fuel Oil,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080
Aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet Fuel,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
Aviation Gasoline,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
Agricultural Equipment a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline-Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Stroke,0.055,0.056,0.057,0.058,0.059,0.060,0.060,0.061,0.062,0.063,0.064,0.064,0.065,0.069,0.074,0.081,0.086,0.089,0.091,0.091,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092
4 Stroke,0.543,0.544,0.545,0.547,0.548,0.550,0.551,0.552,0.554,0.555,0.558,0.561,0.565,0.570,0.583,0.594,0.604,0.609,0.615,0.618,0.624,0.629,0.634,0.638,0.642,0.644,0.647,0.650,0.653,0.656
Gasoline-Off-road Trucks,0.543,0.544,0.545,0.547,0.548,0.550,0.551,0.552,0.554,0.555,0.558,0.561,0.565,0.570,0.583,0.594,0.604,0.609,0.615,0.618,0.624,0.629,0.634,0.638,0.642,0.644,0.647,0.650,0.653,0.656
Diesel-Equipment,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282
Diesel-Off-Road Trucks,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288
CNG,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.037,0.038,0.039,0.040,0.041,0.042,0.043,0.044,0.044,0.044,0.044,0.044,0.044,0.045,0.045,0.045
LPG,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.257,0.263,0.268,0.271,0.275,0.277,0.281,0.283,0.285,0.287,0.288,0.290,0.291,0.292,0.293,0.294
Construction/Mining Equipment b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline-Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Stroke,0.079,0.080,0.080,0.081,0.081,0.082,0.083,0.083,0.084,0.084,0.084,0.084,0.085,0.086,0.091,0.099,0.107,0.117,0.119,0.120,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121
4 Stroke,0.461,0.466,0.471,0.476,0.481,0.486,0.491,0.496,0.501,0.506,0.509,0.523,0.534,0.543,0.554,0.565,0.571,0.575,0.579,0.582,0.584,0.587,0.590,0.591,0.592,0.594,0.595,0.596,0.596,0.597
Gasoline-Off-road Trucks,0.461,0.466,0.471,0.476,0.481,0.486,0.491,0.496,0.501,0.506,0.509,0.523,0.534,0.543,0.554,0.565,0.571,0.575,0.579,0.582,0.584,0.587,0.590,0.591,0.592,0.594,0.595,0.596,0.596,0.597
Diesel-Equipment,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274
Diesel-Off-Road Trucks,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288
CNG,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.037,0.037,0.038,0.038,0.038,0.038,0.038,0.039,0.039,0.039,0.040,0.040,0.041,0.042,0.042
LPG,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.257,0.264,0.269,0.272,0.275,0.279,0.283,0.287,0.290,0.293,0.295,0.298,0.300,0.303,0.305,0.306
Lawn and Garden Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline-Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Stroke,0.053,0.054,0.054,0.055,0.055,0.056,0.057,0.057,0.058,0.058,0.060,0.060,0.062,0.064,0.067,0.071,0.075,0.079,0.082,0.084,0.084,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
4 Stroke,0.401,0.405,0.409,0.413,0.417,0.421,0.425,0.429,0.433,0.437,0.447,0.460,0.472,0.482,0.491,0.500,0.509,0.516,0.521,0.526,0.529,0.532,0.534,0.535,0.536,0.537,0.537,0.537,0.538,0.537
Gasoline-Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Stroke,0.066,0.066,0.067,0.068,0.069,0.069,0.070,0.071,0.071,0.072,0.072,0.072,0.074,0.076,0.081,0.087,0.093,0.099,0.101,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102
4 Stroke,0.427,0.435,0.442,0.449,0.457,0.464,0.471,0.478,0.486,0.493,0.498,0.507,0.515,0.524,0.532,0.540,0.545,0.549,0.551,0.553,0.554,0.555,0.557,0.558,0.558,0.558,0.559,0.559,0.559,0.559
Diesel-Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel-Commercial,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270
LPG,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.258,0.266,0.273,0.280,0.285,0.291,0.297,0.302,0.306,0.307,0.309,0.310,0.311,0.311,0.312,0.312
Airport Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Stroke,0.597,0.601,0.605,0.609,0.612,0.616,0.620,0.624,0.627,0.631,0.631,0.635,0.640,0.642,0.658,0.678,0.692,0.708,0.724,0.734,0.741,0.750,0.755,0.758,0.760,0.762,0.763,0.764,0.764,0.764
Diesel,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285
LPG,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.257,0.266,0.274,0.282,0.290,0.295,0.299,0.304,0.307,0.308,0.310,0.311,0.311,0.312,0.312,0.312
Industrial/Commercial Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Stroke,0.055,0.056,0.057,0.058,0.059,0.060,0.061,0.062,0.063,0.064,0.064,0.064,0.067,0.073,0.080,0.088,0.091,0.091,0.091,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092
4 Stroke,0.457,0.463,0.468,0.474,0.479,0.485,0.490,0.496,0.501,0.506,0.510,0.518,0.527,0.536,0.547,0.558,0.566,0.573,0.579,0.583,0.587,0.590,0.593,0.594,0.595,0.596,0.597,0.598,0.599,0.600
Diesel,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.270,0.271,0.271,0.271,0.271,0.271,0.272,0.272,0.273,0.273,0.273,0.272,0.272,0.272,0.272
CNG,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.038,0.040,0.041,0.041,0.042,0.042,0.043,0.043,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044
LPG,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.257,0.263,0.270,0.276,0.281,0.285,0.291,0.297,0.303,0.305,0.307,0.308,0.309,0.310,0.311,0.311
Logging Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Stroke,0.082,0.083,0.083,0.084,0.084,0.085,0.085,0.086,0.086,0.087,0.087,0.087,0.087,0.087,0.092,0.100,0.110,0.121,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124
4 Stroke,0.445,0.447,0.448,0.450,0.452,0.453,0.455,0.457,0.458,0.460,0.463,0.468,0.477,0.488,0.497,0.504,0.507,0.510,0.514,0.518,0.522,0.528,0.535,0.542,0.549,0.554,0.557,0.559,0.562,0.563
Diesel,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287
Railroad Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Stroke,0.442,0.446,0.451,0.455,0.459,0.464,0.468,0.473,0.477,0.482,0.485,0.494,0.502,0.517,0.530,0.540,0.548,0.555,0.559,0.561,0.562,0.564,0.565,0.566,0.567,0.567,0.568,0.568,0.568,0.568
Diesel,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243
LPG,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.255,0.258,0.264,0.269,0.272,0.274,0.276,0.283,0.287,0.291,0.294,0.297,0.299,0.303,0.305,0.306
Recreational Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Stroke,0.059,0.059,0.059,0.059,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.061,0.061,0.061,0.061,0.062,0.062,0.063,0.064,0.064,0.065,0.066,0.067,0.068,0.069,0.070,0.071,0.072
4 Stroke,0.719,0.721,0.724,0.727,0.729,0.732,0.734,0.737,0.740,0.742,0.743,0.761,0.769,0.775,0.781,0.787,0.788,0.789,0.790,0.790,0.790,0.792,0.793,0.793,0.793,0.794,0.794,0.794,0.795,0.795
Diesel,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236
LPG,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.252,0.254,0.256,0.259,0.261,0.263,0.265,0.267,0.270,0.272,0.274,0.276,0.278,0.281,0.283,0.285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Includes equipment, such as tractors and combines, as well as fuel consumption from trucks that are used off-road in agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Includes equipment, such as cranes, dumpers, and excavators, as well as fuel consumption from trucks that are used off-road in construction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IPCC (2006) and Browning, L (2018b), EPA (2019a).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
