Table 1-4: Key Categories for the United States (1990 and 2019),,,,,,,,,,
CRF Source/Sink Categories,Gas,Approach 1,,,,Approach 2 (includes uncertainty) ,,,,2019 Emissions (MMT CO2 Eq.)
,,Level Without LULUCF,Trend Without LULUCF,Level With LULUCF,Trend With LULUCF,Level Without LULUCF,Trend Without LULUCF,Level With LULUCF,Trend With LULUCF,
Energy,,,,,,,,,,
1.A.3.b CO2 Emissions from Mobile Combustion: Road,CO2,•,•,•,•,•,•,•,•,"1,510.50"
1.A.1 CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,•,•,•,•,•,•,•,•,973.5
1.A.1 CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,•,•,•,•,•,•,•,•,616
1.A.2 CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,•,•,•,•,•,•,•,•,503.3
1.A.4.b CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,•,•,•,•,•,•,•,,275.3
1.A.2 CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,•,•,•,•,•,•,•,•,269.7
1.A.4.a CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,•,•,•,•,•,•,•,•,192.8
1.A.3.a CO2 Emissions from Mobile Combustion: Aviation,CO2,•,•,•,•,•,,•,,178.5
1.A.5 CO2 Emissions from Non-Energy Use of Fuels,CO2,•,•,•,•,•,•,•,•,128.8
1.A.4.b CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,•,•,•,•,,•,,,61.5
1.A.4.a CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,•,•,•,•,,,,,55.3
1.A.3.e CO2 Emissions from Mobile Combustion: Other,CO2,•,•,•,•,,,,,53.7
1.A.2 CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,•,•,•,•,•,•,•,•,49.5
1.B.2 CO2 Emissions from Petroleum Systems,CO2,•,•,•,•,•,•,•,•,47.3
1.B.2 CO2 Emissions from Natural Gas Systems,CO2,•,,•,,,,,,37.2
1.A.3.c CO2 Emissions from Mobile Combustion: Railways,CO2,•,,•,,,,,,37.1
1.A.3.d CO2 Emissions from Mobile Combustion: Marine,CO2,•,,•,,,,,,32.1
1.A.5 CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,•,,•,,,,,,19.5
1.A.1 CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,•,•,•,•,•,•,,•,16.2
1.A.5.b CO2 Emissions from Mobile Combustion: Military,CO2,,,,•,,,,,5.3
1.A.5 CO2 Emissions from Stationary Combustion - Gas - U.S. Territories,CO2,,,,,,•,,,2.5
1.A.4.a CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,,•,,•,,,,,1.6
1.A.4.b CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,,,,,,•,,•,-
1.B.2 CH4 Emissions from Natural Gas Systems,CH4,•,•,•,•,•,•,•,•,157.6
1.B.1 Fugitive Emissions from Coal Mining,CH4,•,•,•,•,•,•,•,•,47.4
1.B.2 CH4 Emissions from Petroleum Systems,CH4,•,•,•,•,•,•,•,•,39.1
1.B.2 CH4 Emissions from Abandoned Oil and Gas Wells,CH4,,,,,•,,•,,6.6
1.A.4.b CH4 Emissions from Stationary Combustion - Residential,CH4,,,,,•,,•,,4.6
1.A.3.b CH4 Emissions from Mobile Combustion: Road,CH4,,,,,,•,,,0.9
1.A.1 N2O Emissions from Stationary Combustion - Coal - Electricity Generation,N2O,,,,,•,,•,,16.7
1.A.3.b N2O Emissions from Mobile Combustion: Road,N2O,•,•,•,•,•,•,,•,9.3
Industrial Processes and Product Use,,,,,,,,,,
2.C.1 CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,•,•,•,•,•,•,•,•,41.3
2.A.1 CO2 Emissions from Cement Production,CO2,•,,•,,,,,,40.9
2.B.8 CO2 Emissions from Petrochemical Production,CO2,•,•,•,•,,,,,30.8
2.B.3 N2O Emissions from Adipic Acid Production,N2O,,•,,•,,,,,5.3
