Table 2-11:  Electric Power-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Fuel Type or Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,"1,831.20","1,828.30","1,843.10","1,918.70","1,944.20","1,962.30","2,036.40","2,103.50","2,191.60","2,205.30","2,310.50","2,271.80","2,287.50","2,318.50","2,351.10","2,416.60","2,361.40","2,428.40","2,375.00","2,161.20","2,274.80","2,173.30","2,038.40","2,055.50","2,055.00","1,918.30","1,825.90","1,748.50","1,768.20","1,621.20"
,Fossil Fuel Combustion,"1,820.00","1,817.40","1,830.70","1,906.20","1,930.50","1,947.20","2,020.20","2,087.50","2,176.60","2,189.70","2,296.20","2,257.20","2,272.20","2,303.70","2,335.10","2,400.10","2,344.40","2,411.10","2,359.30","2,145.30","2,258.60","2,158.10","2,023.30","2,038.30","2,037.20","1,900.60","1,808.90","1,732.00","1,752.90","1,606.00"
,Coal,"1,546.50","1,547.20","1,568.50","1,631.60","1,637.90","1,659.90","1,751.50","1,796.00","1,827.10","1,835.40","1,926.40","1,868.80","1,888.90","1,930.00","1,942.00","1,982.80","1,952.70","1,986.20","1,958.40","1,740.20","1,827.20","1,722.40","1,511.70","1,571.30","1,568.60","1,351.40","1,242.00","1,207.10","1,152.90",973.5
,Natural Gas,175.4,179,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306,278.1,296.8,318.9,338,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545,505.6,577.4,616
,Petroleum,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.5,98.6,76.9,95.1,95.8,98,53.3,53,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.5,18.9,22.2,16.2
,Geothermal,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Incineration of Waste,8.1,8.1,9.6,9.9,11,11.4,12.1,12.1,11,11.2,11.3,11.6,12.1,12.3,12.6,12.7,12.8,13,12.1,11.5,10.8,10,10.6,11.4,11.4,11.5,11.5,11.5,11.5,11.5
,Other Process Uses of Carbonates,3.1,2.8,2.8,2.6,2.8,3.8,4.1,3.9,4,4.4,3,3,3.2,2.5,3.5,3.8,4.3,4.3,3.6,4.3,5.4,5.2,4.6,5.8,6.5,6.1,5.5,5,3.7,3.7
,CH4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,1,1.1,1,1.1,1.2,1.2,1.1,1.2,1.3
,Stationary Sources a ,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,1,1.1,1,1.1,1.2,1.2,1.1,1.2,1.3
,Incineration of Waste,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2O,21,20.9,21.1,21.9,22.4,22.6,23.2,23.7,24.3,24.4,25.7,25.6,26.8,28,29.1,30.4,30.2,30.6,30.4,28.2,30.4,29.2,26.8,28.9,29.2,26.8,26.5,25.1,24.7,21.4
,Stationary Sources a,20.5,20.5,20.6,21.5,21.9,22.1,22.7,23.3,24,24,25.3,25.2,26.4,27.6,28.8,30.1,29.8,30.3,30,27.9,30.1,28.9,26.5,28.6,28.9,26.5,26.2,24.8,24.4,21.1
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,SF6,23.2,22.2,22.1,21.4,20.2,18.6,17,15.6,13.3,13.6,12.7,12,10.8,9.9,9.1,8.4,7,6.3,6.1,5.9,5.7,5.8,4.8,4.6,4.9,3.8,4.1,4.2,3.9,4.2
,Electrical Transmission and Distribution,23.2,22.2,22.1,21.4,20.2,18.6,17,15.6,13.3,13.6,12.7,12,10.8,9.9,9.1,8.4,7,6.3,6.1,5.9,5.7,5.8,4.8,4.6,4.9,3.8,4.1,4.2,3.9,4.2
,Total,"1,875.70","1,871.70","1,886.70","1,962.50","1,987.30","2,004.00","2,077.10","2,143.20","2,229.70","2,243.80","2,349.50","2,310.00","2,325.90","2,357.20","2,390.20","2,456.30","2,399.60","2,466.30","2,412.50","2,196.30","2,311.90","2,209.30","2,071.20","2,090.00","2,090.10","1,950.00","1,857.60","1,778.90","1,798.00","1,648.10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Includes only stationary combustion emissions related to the generation of electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
