Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Percent a
,Industry,"2,313.10","2,274.10","2,334.30","2,313.30","2,352.20","2,360.60","2,408.60","2,424.00","2,408.60","2,358.50","2,364.80","2,261.50","2,228.30","2,231.20","2,280.10","2,234.10","2,239.90","2,227.00","2,152.80","1,902.60","2,033.70","2,020.10","1,979.30","2,034.00","2,015.00","1,964.20","1,894.60","1,902.70","1,958.30","1,947.20",29.70%
,Direct Emissions,"1,640.70","1,613.60","1,649.10","1,620.20","1,645.60","1,662.50","1,691.90","1,691.30","1,661.80","1,609.30","1,598.80","1,549.20","1,532.10","1,510.80","1,559.50","1,518.80","1,550.20","1,541.20","1,481.50","1,326.80","1,418.10","1,421.80","1,415.40","1,466.50","1,451.00","1,441.60","1,402.20","1,423.40","1,483.30","1,504.80",22.90%
,CO2,"1,158.90","1,140.30","1,178.60","1,163.90","1,189.50","1,208.60","1,237.50","1,246.60","1,219.10","1,191.40","1,188.40","1,160.60","1,145.90","1,135.70","1,179.60","1,140.90","1,164.40","1,149.40","1,092.10",959.5,"1,042.70","1,046.00","1,055.50","1,103.60","1,087.20","1,081.90","1,052.80","1,068.60","1,125.20","1,149.40",17.50%
,CH4,365.2,365.6,360.8,348.7,351.4,341.2,339.6,339,331,319,316.7,317.2,308.5,308.4,309.3,304.4,312.6,309.2,322.6,313.6,312.2,301,293.2,297.2,294.3,289.7,278.1,280.2,280,280.7,4.30%
,N2O,40.3,39.7,38.1,39.9,40.6,44.3,44.9,38.4,33.7,32.7,33.1,30,31,31.1,29.8,33.8,35.2,38.9,28.8,26.7,30.8,36.2,30.8,29.7,31.2,30.2,31.5,30.9,34.2,29.6,0.50%
,"HFCs, PFCs, SF6, and NF3",76.3,68,71.5,67.7,64.2,68.4,69.9,67.3,77.9,66.2,60.6,41.3,46.7,35.6,40.7,39.6,38,43.7,37.9,27,32.4,38.6,36,36,38.3,39.8,39.9,43.6,43.9,45.2,0.70%
,Electricity-Related,672.4,660.6,685.2,693.1,706.5,698.1,716.7,732.8,746.8,749.2,765.9,712.3,696.2,720.4,720.6,715.3,689.7,685.8,671.4,575.8,615.6,598.3,563.8,567.5,564.1,522.6,492.4,479.3,475,442.4,6.70%
,CO2,656.4,645.2,669.4,677.6,691.3,683.6,702.7,719.2,734.1,736.3,753.2,700.6,684.7,708.6,708.8,703.7,678.8,675.3,660.9,566.6,605.7,588.5,554.9,558.2,554.6,514.1,484,471.1,467.2,435.2,6.60%
,CH4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,+%
,N2O,7.5,7.4,7.6,7.7,8,7.9,8,8.1,8.2,8.1,8.4,7.9,8,8.6,8.8,8.9,8.7,8.5,8.4,7.4,8.1,7.9,7.3,7.9,7.9,7.2,7,6.8,6.5,5.7,0.10%
,SF6,8.3,7.8,8,7.6,7.2,6.5,5.9,5.3,4.4,4.5,4.1,3.7,3.2,3,2.7,2.4,2,1.7,1.7,1.5,1.5,1.6,1.3,1.2,1.3,1,1.1,1.1,1,1.1,+%
,Transportation,"1,529.80","1,483.60","1,543.10","1,580.20","1,635.20","1,670.30","1,726.50","1,753.10","1,795.60","1,866.70","1,917.20","1,889.30","1,929.60","1,937.80","1,970.60","1,980.40","1,980.50","1,979.60","1,875.60","1,800.80","1,806.80","1,773.50","1,753.50","1,756.30","1,790.50","1,798.40","1,834.30","1,851.80","1,883.00","1,880.60",28.70%
,Direct Emissions,"1,526.60","1,480.50","1,540.00","1,577.00","1,632.00","1,667.10","1,723.40","1,750.00","1,792.40","1,863.40","1,913.70","1,885.60","1,926.10","1,933.40","1,966.00","1,975.60","1,975.90","1,974.40","1,870.80","1,796.20","1,802.20","1,769.10","1,749.40","1,751.90","1,785.90","1,794.10","1,830.00","1,847.30","1,878.20","1,875.70",28.60%
,CO2,"1,481.00","1,433.10","1,488.60","1,519.70","1,565.60","1,592.10","1,638.40","1,655.20","1,691.10","1,758.70","1,804.40","1,773.60","1,814.00","1,822.20","1,855.60","1,868.80","1,869.10","1,871.10","1,769.30","1,697.10","1,707.30","1,681.20","1,669.50","1,679.50","1,718.30","1,730.20","1,770.20","1,792.00","1,825.80","1,826.10",27.80%
,CH4,5.7,5.6,5.6,5.5,5.5,5.4,5.3,5.1,4.8,4.3,4.1,3.8,3.5,3.3,3.2,3,2.9,2.7,2.5,2.4,2.4,2.3,2.1,1.9,1.8,1.8,1.7,1.6,1.5,1.4,+%
,N2O,39.9,41.8,44.7,46.7,48.6,50.1,51.3,52.3,52.7,50.2,49,46.1,44,41.7,39.1,34.5,33.6,29.5,27.2,25.6,24.5,23.1,20.8,18.9,17.1,15.8,14.8,13.6,12.4,11.5,0.20%
,HFCs b,+,+,1.2,5.1,12.4,19.6,28.4,37.4,43.8,50.2,56.2,62,64.5,66.2,68.2,69.3,70.3,71.2,71.9,71.1,68.1,62.4,57.1,51.6,48.8,46.3,43.3,40.1,38.5,36.7,0.60%
,Electricity-Related,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.3,3.5,3.7,3.5,4.4,4.6,4.8,4.6,5.2,4.8,4.6,4.6,4.4,4.1,4.4,4.6,4.4,4.3,4.4,4.8,4.9,0.10%
,CO2,3.1,3,3,3.1,3.2,3.1,3.1,3.1,3.2,3.2,3.5,3.7,3.5,4.3,4.6,4.8,4.6,5.1,4.7,4.5,4.5,4.3,4,4.3,4.5,4.3,4.2,4.4,4.7,4.8,0.10%
,CH4,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+%
,N2O,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
,SF6,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+%
,Commercial,983.4,991.1,985.7,"1,004.20","1,017.90","1,031.70","1,061.30","1,094.50","1,104.70","1,110.40","1,172.00","1,175.90","1,175.70","1,192.20","1,209.90","1,229.80","1,211.60","1,255.70","1,249.50","1,190.30","1,213.30","1,173.50","1,116.10","1,144.60","1,156.60","1,125.70","1,080.80","1,054.50","1,067.80","1,022.30",15.60%
,Direct Emissions,429.2,436.5,432.1,425.6,428.9,428,435.7,428.2,403,399.4,413.7,402.7,404.3,420.6,418.5,407.9,394.5,408.5,415.8,419.6,422.1,417.9,398.9,422.3,432.6,445.4,430.1,431.9,447.3,455.3,6.90%
,CO2,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.6,232,245.7,249.7,3.80%
,CH4,181.9,184.3,184.1,182,181.5,176.6,172.8,163.2,153.5,146.8,143.6,138.9,137.4,139.8,137.3,134.2,131.8,129.6,127.3,124.9,125.6,116.9,118.1,114.4,114,112.9,109.3,110.5,112.9,115.2,1.80%
,N2O,19,19.5,20,20.3,21,21.1,21.6,21.8,22.3,23.1,23.6,23.4,23.7,24.2,24.6,24.5,24.9,25.1,25,24.8,25.1,25.3,26.2,26.4,26.8,27.1,27.7,28.4,27.9,28.2,0.40%
,HFCs,+,+,+,0.3,1.7,2.5,3.6,5.3,7,8.7,10,12,14.2,16.5,18.6,22.1,25.9,30.7,36,41.8,46.9,51.1,54.4,57.2,59.4,60.8,61.5,61,60.8,62.3,0.90%
,Electricity-Related,554.2,554.7,553.5,578.6,589,603.7,625.6,666.4,701.8,710.9,758.2,773.1,771.4,771.6,791.4,821.8,817.1,847.2,833.7,770.8,791.2,755.7,717.2,722.4,724,680.3,650.7,622.6,620.4,566.9,8.60%
,CO2,541,541.8,540.7,565.7,576.2,591.1,613.4,654,689.7,698.7,745.7,760.4,758.7,758.9,778.5,808.5,804.1,834.2,820.8,758.5,778.5,743.4,705.9,710.4,711.8,669.2,639.6,612,610.1,557.7,8.50%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,+%
,N2O,6.2,6.2,6.2,6.5,6.6,6.8,7,7.4,7.7,7.7,8.3,8.6,8.9,9.2,9.6,10.2,10.3,10.5,10.5,9.9,10.4,10,9.3,10,10.1,9.4,9.3,8.8,8.5,7.4,0.10%
,SF6,6.8,6.6,6.5,6.3,6,5.6,5.1,4.9,4.2,4.3,4.1,4,3.6,3.2,3,2.8,2.4,2.1,2.1,2.1,1.9,2,1.7,1.6,1.7,1.3,1.4,1.5,1.3,1.5,+%
,Residential,956,974.3,970.7,"1,023.20","1,013.80","1,027.80","1,090.50","1,079.20","1,082.60","1,104.10","1,167.90","1,158.40","1,185.60","1,215.00","1,212.90","1,247.10","1,184.00","1,237.90","1,225.40","1,159.50","1,215.50","1,158.70","1,049.70","1,111.10","1,131.50","1,053.10",998.9,963.7,"1,035.90",978.3,14.90%
,Direct Emissions,345.1,354.7,361.2,372.6,363.3,367.5,399.5,380.8,346.9,366.7,388,378.1,375.3,393.7,381.9,371,334.3,355.3,363.9,354.5,355.5,349.1,306.9,357.7,378.3,351.5,327.8,329.9,377.3,379.5,5.80%
,CO2,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.1,336.8,5.10%
,CH4,5.2,5.4,5.7,5,4.8,4.7,5,4.1,3.6,3.8,4,3.7,3.7,3.9,4,4.1,3.6,3.9,4.2,4.5,4.7,4.6,3.8,4.9,5,4.5,3.9,3.8,4.5,4.6,0.10%
,N2O,1,1.1,1.1,1,1,1,1,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,1,1,0.9,0.8,0.7,0.9,0.9,+%
,HFCs,0.2,0.5,0.5,0.5,0.5,8.7,10,10.8,10.8,11.2,11.4,10.5,9.7,8.8,8,7.2,8.2,9.3,10.9,12.8,15.1,17.5,20,22.8,25.8,28.9,30.4,32,33.8,37.2,0.60%
,Electricity-Related,610.9,619.6,609.5,650.6,650.5,660.3,691,698.4,735.7,737.4,779.9,780.3,810.3,821.2,831,876.1,849.7,882.6,861.5,804.9,859.9,809.6,742.8,753.4,753.2,701.6,671.1,633.8,658.7,598.8,9.10%
,CO2,596.4,605.2,595.4,636.1,636.4,646.6,677.5,685.4,723.1,724.8,766.9,767.4,796.9,807.8,817.5,861.9,836.2,869.1,848.2,792.1,846.1,796.4,731,740.9,740.5,690.1,659.6,623,647.7,589,9.00%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,+%
,N2O,6.8,6.9,6.8,7.3,7.3,7.4,7.7,7.7,8,8,8.5,8.6,9.3,9.8,10.1,10.9,10.7,11,10.8,10.3,11.3,10.7,9.6,10.4,10.5,9.7,9.6,8.9,9.1,7.8,0.10%
,SF6,7.5,7.3,7.1,7.1,6.6,6.1,5.7,5.1,4.4,4.5,4.2,4,3.8,3.5,3.2,3,2.5,2.2,2.2,2.2,2.1,2.1,1.7,1.6,1.8,1.4,1.5,1.5,1.4,1.5,+%
,Agriculture,635.3,624.6,627.1,656.8,645,658,666.7,657.3,664,655.7,640,659.4,666.3,662,677.5,668,667.4,691.6,675.3,676.4,685.1,667.2,652.8,690.2,701.9,699.7,684.9,685.3,701.1,704.6,10.70%
,Direct Emissions,600.2,590.8,591.7,619.8,607,619.2,626.2,614.7,621.8,612.7,598.1,618.9,621.9,622.4,635,629.7,628.9,646.1,634.3,636.2,644.5,625.9,609.5,647.9,657.5,658.5,645.8,646.6,662,669.5,10.20%
,CO2,50.5,50.1,49.7,49.3,50.1,50.2,49.8,50.1,49.9,47.7,47.4,49,50.7,52.1,56.4,58.7,62.3,60.2,56.5,53.7,55.2,54.8,58.3,54.1,54.1,49.6,48.1,47.9,47.3,47.4,0.70%
,CH4,218.3,220.4,223.9,229,233.4,239.4,237.7,234.8,238.1,238.9,238.5,235.5,238.8,236.4,232.4,239.5,238.9,247.5,243.1,243.3,246.2,240.3,239.9,234.9,234.9,241.5,248.2,251.1,255.8,256.5,3.90%
,N2O,331.4,320.3,318.1,341.5,323.5,329.7,338.7,329.8,333.8,326.2,312.2,334.4,332.3,333.8,346.2,331.5,327.7,338.5,334.6,339.2,343.1,330.8,311.4,358.8,368.6,367.3,349.5,347.5,358.9,365.5,5.60%
,Electricity-Related,35.1,33.8,35.4,37,38,38.8,40.6,42.6,42.2,43,41.9,40.5,44.4,39.6,42.5,38.3,38.4,45.5,41.1,40.2,40.6,41.3,43.3,42.3,44.3,41.3,39.1,38.7,39.1,35.2,0.50%
,CO2,34.2,33,34.6,36.2,37.2,38,39.8,41.8,41.5,42.2,41.2,39.8,43.7,39,41.8,37.7,37.8,44.8,40.4,39.5,39.9,40.7,42.6,41.6,43.6,40.6,38.5,38.1,38.5,34.6,0.50%
,CH4,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+%
,N2O,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,+%
,SF6,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
,U.S. Territories,25.2,25.8,25.5,26.7,27.8,27.5,27.5,28.3,27.7,30.1,51.8,58.4,58.7,63.3,64.5,63.7,61.1,57.9,45.9,42.4,36.8,34.5,34.5,28.4,29.5,30,26.8,25.4,25.4,25.4,0.40%
,Total Emissions (Sources),"6,442.70","6,373.60","6,486.30","6,604.30","6,691.80","6,775.90","6,981.20","7,036.50","7,083.30","7,125.40","7,313.60","7,203.00","7,244.30","7,301.40","7,415.50","7,423.00","7,344.50","7,449.60","7,224.60","6,772.00","6,991.10","6,827.40","6,585.90","6,764.70","6,825.00","6,671.10","6,520.30","6,483.30","6,671.40","6,558.30",100.00%
,LULUCF Sector Net Total c,-900.8,-898.6,-886.2,-867.5,-883.5,-855.3,-871.1,-855.8,-862.8,-856.6,-854,-852.3,-815.7,-837,-735.1,-788.1,-847.3,-798.8,-791.7,-756.2,-783.9,-800.6,-807,-788.5,-798.5,-763.8,-842.8,-766.1,-801.4,-789.2,(+)%
,Net Emissions (Sources and Sinks),"5,541.90","5,475.00","5,600.10","5,736.90","5,808.30","5,920.50","6,110.00","6,180.70","6,220.50","6,268.80","6,459.70","6,350.70","6,428.60","6,464.30","6,680.30","6,635.00","6,497.20","6,650.80","6,433.00","6,015.80","6,207.20","6,026.80","5,778.90","5,976.10","6,026.40","5,907.30","5,677.50","5,717.20","5,870.00","5,769.10",88.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Total emissions presented without LULUCF. Net emissions presented with LULUCF. Emissions from electric power are allocated based on aggregate electricity use in each end-use sector. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Percent of total (gross) emissions excluding emissions from LULUCF for year 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes primarily HFC-134a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
