"Table 2-15:  Emissions of NOx, CO, NMVOCs, and SO2 (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,NOx,"21,739","21,420","21,477","21,561","21,592","21,226","21,110","20,986","20,710","19,500","19,193","18,261","20,522","19,327","18,207","17,339","16,379","15,614","14,383","13,440","12,577","12,377","11,978","11,259","10,798","10,187","8,792","8,642","8,145","7,754"
,Mobile Fossil Fuel Combustion,"10,862","10,795","10,728","10,662","10,598","10,536","10,475","10,528","10,385","10,183","10,199","9,696","12,485","11,755","11,025","10,295","9,740","9,186","8,523","7,797","7,290","7,294","6,909","6,523","6,138","5,634","4,739","4,563","4,123","3,862"
,Stationary Fossil Fuel Combustion,"10,023","9,834","9,934","10,084","10,137","9,862","9,708","9,534","9,369","8,390","8,053","7,623","6,825","6,401","5,973","5,858","5,511","5,163","4,780","4,452","4,092","3,807","3,645","3,483","3,313","3,084","2,856","2,728","2,711","2,581"
,Oil and Gas Activities,139,110,134,112,106,100,126,130,130,109,111,113,321,324,322,321,344,368,391,468,545,622,631,641,650,622,594,565,565,565
,Industrial Processes and Product Use,592,551,564,565,596,610,600,631,640,598,629,659,539,551,562,572,554,535,514,493,472,452,440,427,414,408,402,397,397,397
,Forest Fires,22,27,8,5,20,8,17,3,16,32,44,24,225,156,184,126,46,212,56,109,72,61,217,66,142,312,87,281,242,242
,Waste Combustion,82,85,86,107,100,88,135,139,145,143,114,114,98,108,118,128,114,100,85,81,77,73,81,89,97,88,80,71,71,71
,Grassland Fires,5,5,9,7,18,10,31,5,9,29,29,15,13,13,5,21,55,35,17,25,12,54,39,13,27,21,19,21,20,20
,Agricultural Burning,13,12,13,14,13,11,14,14,13,14,13,13,15,17,15,15,13,14,15,14,16,12,14,15,15,14,14,14,14,14
,Waste,+,1,1,5,4,1,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1
