Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,"5,113,455","5,057,931","5,167,481","5,267,343","5,358,824","5,421,502","5,610,582","5,686,465","5,731,050","5,804,669","6,010,508","5,904,882","5,946,771","6,011,837","6,114,007","6,134,521","6,051,668","6,131,004","5,914,078","5,478,210","5,675,786","5,540,173","5,338,698","5,474,257","5,522,807","5,371,771","5,248,024","5,207,751","5,375,491","5,255,816"
,Fossil Fuel Combustion,"4,731,466","4,680,858","4,779,991","4,893,308","4,964,870","5,022,522","5,214,331","5,274,912","5,320,581","5,371,982","5,608,609","5,530,665","5,567,973","5,644,298","5,721,277","5,753,507","5,667,213","5,754,027","5,555,537","5,182,208","5,346,336","5,210,068","5,006,200","5,123,343","5,167,471","5,008,270","4,911,532","4,854,480","4,991,420","4,856,702"
,Transportation,"1,469,116","1,422,498","1,477,783","1,508,743","1,554,070","1,580,796","1,627,475","1,643,618","1,679,024","1,746,445","1,792,301","1,762,572","1,803,118","1,812,082","1,845,324","1,858,648","1,859,216","1,860,822","1,759,761","1,688,556","1,696,851","1,671,205","1,660,352","1,669,818","1,708,210","1,719,230","1,759,866","1,782,441","1,816,563","1,817,209"
,Electric Power ,"1,819,951","1,817,359","1,830,688","1,906,172","1,930,468","1,947,173","2,020,243","2,087,520","2,176,555","2,189,666","2,296,172","2,257,204","2,272,227","2,303,678","2,335,083","2,400,057","2,344,396","2,411,137","2,359,332","2,145,346","2,258,639","2,158,067","2,023,256","2,038,270","2,037,166","1,900,637","1,808,871","1,732,031","1,752,936","1,606,024"
,Industrial,"853,808","839,111","866,425","865,292","872,851","889,939","922,940","917,785","890,758","843,186","869,536","866,807","853,269","853,185","877,079","852,895","875,747","867,449","820,456","744,237","796,824","796,819","806,744","834,303","814,481","797,270","792,496","790,069","813,569","822,470"
,Residential,"338,578","347,719","353,989","366,091","357,050","353,134","383,474","365,033","331,610","350,907","371,703","363,053","361,082","380,126","369,060","358,898","321,726","341,171","347,889","336,424","334,751","326,151","282,367","329,111","346,540","317,304","292,764","293,397","338,058","336,752"
,Commercial,"228,298","232,665","228,049","222,991","224,700","227,789","237,558","237,819","220,118","220,730","236,530","228,457","229,007","240,136","237,976","227,130","211,807","223,085","227,506","228,044","224,459","224,463","200,308","224,218","232,422","244,596","231,552","231,989","245,738","249,691"
,U.S. Territories,"21,715","21,505","23,059","24,020","25,732","23,691","22,641","23,137","22,516","21,048","42,367","52,572","49,269","55,090","56,755","55,879","54,321","50,362","40,592","39,600","34,811","33,363","33,174","27,623","28,652","29,232","25,983","24,552","24,555","24,556"
,Non-Energy Use of Fuels,"112,766","118,155","124,568","113,501","124,026","121,447","118,574","129,352","134,503","157,907","129,105","122,713","125,412","119,350","136,788","129,135","127,135","116,110","111,770","94,718","96,852","90,457","89,957","101,784","97,388","108,476","99,840","113,539","129,728","128,763"
,Petroleum Systems,"9,709","10,000","9,962","10,021","10,274","10,739","11,153","11,559","11,476","10,895","11,032","11,119","11,241","11,485","11,759","12,059","12,247","12,487","13,365","13,567","15,412","17,874","21,882","25,925","30,419","32,412","21,847","24,979","37,115","47,269"
,Iron and Steel Production & Metallurgical Coke Production,"104,732","95,209","95,988","91,643","94,524","98,393","96,354","97,590","91,130","89,012","90,457","79,780","75,772","72,655","72,238","70,076","72,766","74,521","69,931","45,066","58,554","62,949","57,253","55,182","58,184","47,941","43,621","40,566","42,627","41,310"
,Cement Production,"33,484","32,736","32,993","34,838","36,310","37,075","37,309","38,561","39,461","40,239","41,445","41,613","43,164","43,349","45,886","46,194","46,851","45,509","41,416","29,615","31,449","32,208","35,270","36,369","39,439","39,907","39,439","40,324","38,971","40,896"
,Natural Gas Systems,"32,042","31,131","30,994","30,792","30,685","28,664","26,872","26,618","24,380","24,932","25,143","24,806","25,324","24,938","25,059","25,179","25,569","25,881","26,475","25,496","25,924","27,662","26,994","28,715","29,326","29,127","30,054","31,200","33,885","37,234"
