Table 2-4:  Emissions from Energy (MMT CO2 Eq.)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,"4,894.10","4,848.20","4,955.10","5,057.50","5,140.80","5,194.80","5,383.00","5,454.50","5,501.90","5,576.90","5,785.20","5,700.90","5,742.00","5,812.40","5,907.50","5,932.60","5,844.90","5,921.50","5,719.30","5,327.50","5,495.40","5,356.10","5,155.70","5,291.20","5,336.00","5,189.80","5,074.80","5,035.70","5,203.70","5,081.40"
,Fossil Fuel Combustion,"4,731.50","4,680.90","4,780.00","4,893.30","4,964.90","5,022.50","5,214.30","5,274.90","5,320.60","5,372.00","5,608.60","5,530.70","5,568.00","5,644.30","5,721.30","5,753.50","5,667.20","5,754.00","5,555.50","5,182.20","5,346.30","5,210.10","5,006.20","5,123.30","5,167.50","5,008.30","4,911.50","4,854.50","4,991.40","4,856.70"
,Transportation,"1,469.10","1,422.50","1,477.80","1,508.70","1,554.10","1,580.80","1,627.50","1,643.60","1,679.00","1,746.40","1,792.30","1,762.60","1,803.10","1,812.10","1,845.30","1,858.60","1,859.20","1,860.80","1,759.80","1,688.60","1,696.90","1,671.20","1,660.40","1,669.80","1,708.20","1,719.20","1,759.90","1,782.40","1,816.60","1,817.20"
,Electric Power,"1,820.00","1,817.40","1,830.70","1,906.20","1,930.50","1,947.20","2,020.20","2,087.50","2,176.60","2,189.70","2,296.20","2,257.20","2,272.20","2,303.70","2,335.10","2,400.10","2,344.40","2,411.10","2,359.30","2,145.30","2,258.60","2,158.10","2,023.30","2,038.30","2,037.20","1,900.60","1,808.90","1,732.00","1,752.90","1,606.00"
,Industrial,853.8,839.1,866.4,865.3,872.9,889.9,922.9,917.8,890.8,843.2,869.5,866.8,853.3,853.2,877.1,852.9,875.7,867.4,820.5,744.2,796.8,796.8,806.7,834.3,814.5,797.3,792.5,790.1,813.6,822.5
,Residential,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.1,336.8
,Commercial,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.6,232,245.7,249.7
,U.S. Territories,21.7,21.5,23.1,24,25.7,23.7,22.6,23.1,22.5,21,42.4,52.6,49.3,55.1,56.8,55.9,54.3,50.4,40.6,39.6,34.8,33.4,33.2,27.6,28.7,29.2,26,24.6,24.6,24.6
,Non-Energy Use of Fuels,112.8,118.2,124.6,113.5,124,121.4,118.6,129.4,134.5,157.9,129.1,122.7,125.4,119.3,136.8,129.1,127.1,116.1,111.8,94.7,96.9,90.5,90,101.8,97.4,108.5,99.8,113.5,129.7,128.8
,Petroleum Systems,9.7,10,10,10,10.3,10.7,11.2,11.6,11.5,10.9,11,11.1,11.2,11.5,11.8,12.1,12.2,12.5,13.4,13.6,15.4,17.9,21.9,25.9,30.4,32.4,21.8,25,37.1,47.3
,Natural Gas Systems,32,31.1,31,30.8,30.7,28.7,26.9,26.6,24.4,24.9,25.1,24.8,25.3,24.9,25.1,25.2,25.6,25.9,26.5,25.5,25.9,27.7,27,28.7,29.3,29.1,30.1,31.2,33.9,37.2
,Incineration of Waste,8.1,8.1,9.6,9.9,11,11.4,12.1,12.1,11,11.2,11.3,11.6,12.1,12.3,12.6,12.7,12.8,13,12.1,11.5,10.8,10,10.6,11.4,11.4,11.5,11.5,11.5,11.5,11.5
,Abandoned Oil and Gas Wells,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Biomass-Wood a,215.2,215.3,225,219.3,225,229.1,235.7,228.5,210.4,213.3,218.1,193.5,192.8,193.8,205.1,206.9,202.9,202.3,199.9,188.6,215.5,214.9,208.3,227.3,233.8,224.7,215.7,211.5,219.8,216.5
,International Bunker Fuels b,103.5,117.6,107.9,97.8,96.7,98.5,99.7,107,110.5,102.7,101.8,93.8,94.5,98.4,108.5,113.2,114.2,115.4,114.4,106.4,117,111.7,105.8,99.8,103.4,110.9,116.6,120.1,122.1,116.1
,Biofuels-Ethanol a,4.2,4.9,5.6,6.5,7.3,7.8,5.6,7.1,7.8,8.2,9.3,9.8,11.7,16,20.1,22.9,31,38.9,54.7,62.3,72.6,72.9,72.8,74.7,76.1,78.9,81.2,82.1,81.9,82.6
,Biofuels-Biodiesel a,+,+,+,+,+,+,+,+,+,+,+,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9,17.1
,CH4,361.3,361.4,356.6,343.5,345.2,334.7,332.9,330.9,321.8,309.1,306.9,306.7,297.7,297.6,298.4,293.3,300.8,297.4,310.8,302.1,300.8,289.3,280.5,285.5,282.6,277.4,264.9,266.6,267,267.6
,Natural Gas Systems,186.9,190.2,188.3,190.9,191.8,182.9,180.7,181.1,175.3,169.2,169,170.3,167.2,166.1,165.8,164.2,167.7,165.3,166.9,158.4,153.3,151.4,148.6,151.6,148.4,149.8,147.3,148.7,152.5,157.6
,Coal Mining,96.5,93.3,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.2,71.1,66.2,64.6,64.6,61.2,53.8,54.8,52.7,47.4
,Petroleum Systems,48.9,48.7,47.4,45.5,44.8,44.2,44.6,44.8,42.8,40.9,41.2,41.4,40.5,41.4,41.4,39.5,42.6,42.4,43.3,38.9,39.7,41.6,41.6,44.1,44.4,41.5,39.2,39.3,37.3,39.1
,Stationary Combustion,8.6,8.8,9.1,8.5,8.3,8.3,8.6,7.8,7.1,7.3,7.7,7.2,7.3,7.6,7.7,7.8,7.3,7.7,8,8,8.5,8.3,7.6,8.7,8.9,8.5,7.9,7.6,8.5,8.7
,Abandoned Oil and Gas Wells,6.8,6.8,6.9,6.9,7,7,7,7,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.4,7.4,7.2,7.3,6.6
,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9,8.2,8.3,8.8,8,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3,6.4,6.7,6.4,6.2,5.9
,Mobile Combustion,6.4,6.3,6.3,6.2,6.2,6.1,6,5.8,5.6,5,4.8,4.6,4.4,4.2,4.1,4,3.9,3.7,3.5,3.3,3.3,3.3,3,2.9,2.7,2.6,2.5,2.5,2.4,2.4
,Incineration of Waste,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,International Bunker Fuels b,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,70.3,72,75.2,78,80.5,82.4,84.4,85.9,86.6,84.1,84.5,81.9,81,80.3,79.4,76.3,75.3,71.3,68.2,64,65.6,62.9,58,58.7,57,52.6,51.2,48.6,47.4,43.2
,Stationary Combustion,25.1,25,25.2,26,26.5,26.8,27.5,27.9,28.3,28.3,29.8,29.4,30.5,31.8,33.1,34.4,34,34.4,34,31.6,34.2,32.9,30.3,32.7,32.9,30.5,30,28.4,28.2,24.9
,Mobile Combustion,44.7,46.6,49.6,51.6,53.6,55.2,56.5,57.5,57.9,55.4,54.2,52,50.1,48.1,45.9,41.6,40.8,36.4,33.8,32,31.1,29.7,27.3,25.6,23.7,21.7,20.8,19.8,18.8,18
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Petroleum Systems,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Natural Gas Systems,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,International Bunker Fuels b,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1,1,1,1,0.9,1,1,0.9,0.9,0.9,1,1,1.1,1.1,1
,Total,"5,325.60","5,281.60","5,386.90","5,479.00","5,566.60","5,611.80","5,800.30","5,871.30","5,910.40","5,970.00","6,176.60","6,089.50","6,120.70","6,190.20","6,285.30","6,302.30","6,221.00","6,290.20","6,098.30","5,693.60","5,861.70","5,708.30","5,494.20","5,635.30","5,675.50","5,519.80","5,390.90","5,351.00","5,518.10","5,392.30"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Emissions from Wood Biomass and Biofuel Consumption are not included specifically in summing energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Emissions from International Bunker Fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[1] The full time-series data is available in Common Reporting Format (CRF) Tables included in the U.S. UNFCCC submission and in CSV format available at <https://www.epa.gov/ghgemissions/inventory-us-greenhouse-gas-emissions-and-sinks>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
