Table 2-5:  CO2 Emissions from Fossil Fuel Combustion by End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Transportation,"1,472.20","1,425.50","1,480.80","1,511.80","1,557.20","1,583.90","1,630.50","1,646.70","1,682.20","1,749.70","1,795.70","1,766.20","1,806.60","1,816.40","1,849.90","1,863.40","1,863.70","1,865.90","1,764.40","1,693.00","1,701.40","1,675.50","1,664.30","1,674.10","1,712.70","1,723.50","1,764.10","1,786.80","1,821.20","1,821.90"
,Combustion,"1,469.10","1,422.50","1,477.80","1,508.70","1,554.10","1,580.80","1,627.50","1,643.60","1,679.00","1,746.40","1,792.30","1,762.60","1,803.10","1,812.10","1,845.30","1,858.60","1,859.20","1,860.80","1,759.80","1,688.60","1,696.90","1,671.20","1,660.40","1,669.80","1,708.20","1,719.20","1,759.90","1,782.40","1,816.60","1,817.20"
,Electricity,3,3,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,4,4.3,4.4,4.3,4.2,4.3,4.7,4.7
,Industrial,"1,540.20","1,513.30","1,565.60","1,574.50","1,596.10","1,605.90","1,659.50","1,672.90","1,661.00","1,616.20","1,659.00","1,602.40","1,576.80","1,595.90","1,622.60","1,589.20","1,587.20","1,582.40","1,517.20","1,345.90","1,437.90","1,421.60","1,399.80","1,429.10","1,407.50","1,346.80","1,310.10","1,294.50","1,314.90","1,287.80"
,Combustion,853.8,839.1,866.4,865.3,872.9,889.9,922.9,917.8,890.8,843.2,869.5,866.8,853.3,853.2,877.1,852.9,875.7,867.4,820.5,744.2,796.8,796.8,806.7,834.3,814.5,797.3,792.5,790.1,813.6,822.5
,Electricity,686.4,674.2,699.2,709.2,723.3,716,736.5,755.2,770.2,773,789.5,735.6,723.5,742.7,745.5,736.3,711.4,714.9,696.7,601.7,641,624.8,593.1,594.8,593,549.5,517.6,504.4,501.3,465.3
,Residential,931.3,949.3,945.4,998,989,994.7,"1,055.60","1,045.20","1,049.80","1,070.50","1,133.90","1,125.50","1,152.70","1,182.70","1,180.90","1,214.90","1,151.90","1,204.10","1,190.40","1,122.70","1,174.90","1,116.90","1,007.90","1,063.90","1,080.60","1,001.10",946.2,910.5,980.2,920.3
,Combustion,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.1,336.8
,Electricity,592.7,601.6,591.4,631.9,631.9,641.6,672.1,680.2,718.2,719.6,762.2,762.5,791.6,802.6,811.9,856,830.1,862.9,842.6,786.3,840.1,790.8,725.6,734.7,734.1,683.8,653.5,617.1,642.1,583.5
,Commercial,766,771.2,765.2,785,796.8,814.4,846.1,886.9,905.1,914.5,977.6,983.9,982.7,994.2,"1,011.20","1,030.10","1,010.10","1,051.30","1,042.90",981,997.5,962.6,900.9,928.7,938.1,907.6,865.2,838.2,850.6,802.1
,Combustion,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.6,232,245.7,249.7
,Electricity,537.7,538.5,537.1,562,572.1,586.6,608.5,649.1,685,693.8,741,755.5,753.6,754.1,773.2,803,798.3,828.2,815.4,752.9,773,738.2,700.6,704.5,705.6,663,633.6,606.2,604.8,552.4
,U.S. Territories a,21.7,21.5,23.1,24,25.7,23.7,22.6,23.1,22.5,21,42.4,52.6,49.3,55.1,56.8,55.9,54.3,50.4,40.6,39.6,34.8,33.4,33.2,27.6,28.7,29.2,26,24.6,24.6,24.6
,Total,"4,731.50","4,680.90","4,780.00","4,893.30","4,964.90","5,022.50","5,214.30","5,274.90","5,320.60","5,372.00","5,608.60","5,530.70","5,568.00","5,644.30","5,721.30","5,753.50","5,667.20","5,754.00","5,555.50","5,182.20","5,346.30","5,210.10","5,006.20","5,123.30","5,167.50","5,008.30","4,911.50","4,854.50","4,991.40","4,856.70"
,Electric Power,"1,820.00","1,817.40","1,830.70","1,906.20","1,930.50","1,947.20","2,020.20","2,087.50","2,176.60","2,189.70","2,296.20","2,257.20","2,272.20","2,303.70","2,335.10","2,400.10","2,344.40","2,411.10","2,359.30","2,145.30","2,258.60","2,158.10","2,023.30","2,038.30","2,037.20","1,900.60","1,808.90","1,732.00","1,752.90","1,606.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Combustion-related emissions from electric power are allocated based on aggregate national electricity use by each end-use sector. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Fuel consumption by U.S. Territories (i.e., American Samoa, Guam, Puerto Rico, U.S. Virgin Islands, Wake Island, and other U.S. Pacific Islands) is included in this report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
