"Table 2-8:  U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Forest Land Remaining Forest Land,-785.9,-779.6,-777,-773.9,-767.4,-758.4,-754.7,-754.2,-754.3,-740.3,-714.4,-718.1,-674.2,-701.5,-602,-652.8,-710,-671.4,-664.8,-638,-675.7,-663.7,-661.9,-668.7,-690.5,-650.6,-715.7,-640.9,-682.4,-675.5
Changes in Forest Carbon Stocks a,-787.6,-781.5,-777.8,-774.5,-769,-759.3,-756.3,-754.9,-755.9,-743,-717.9,-720.3,-689.5,-712.3,-614.5,-661.5,-713.6,-685.7,-669.1,-645.7,-680.9,-668.3,-676.6,-673.6,-700.3,-671.4,-721.9,-659.7,-698.6,-691.8
Non-CO2 Emissions from Forest Fires b,1.5,1.8,0.5,0.3,1.3,0.5,1.1,0.2,1,2.1,2.9,1.6,14.6,10.2,12,8.2,3,13.8,3.7,7.1,4.7,4,14.1,4.3,9.2,20.3,5.6,18.3,15.7,15.7
N2O Emissions from Forest Soils c,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Non-CO2 Emissions from Drained Organic Soils d,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Land Converted to Forest Land,-98.2,-98.2,-98.2,-98.2,-98.3,-98.3,-98.3,-98.3,-98.4,-98.4,-98.4,-98.5,-98.5,-98.6,-98.6,-98.7,-98.7,-98.7,-98.8,-98.8,-98.8,-98.9,-98.9,-98.9,-98.9,-98.9,-99,-99.1,-99.1,-99.1
Changes in Forest Carbon Stocks e,-98.2,-98.2,-98.2,-98.2,-98.3,-98.3,-98.3,-98.3,-98.4,-98.4,-98.4,-98.5,-98.5,-98.6,-98.6,-98.7,-98.7,-98.7,-98.8,-98.8,-98.8,-98.9,-98.9,-98.9,-98.9,-98.9,-99,-99.1,-99.1,-99.1
Cropland Remaining Cropland,-23.2,-29,-25.5,-11.6,-19.3,-12.1,-27.5,-19.1,-9.9,-18,-23.7,-27.2,-32,-24.1,-26.2,-29,-25.2,-29.2,-23,-14,-18.6,-31.8,-26.4,-15.3,-12.2,-12.8,-22.7,-22.3,-16.6,-14.5
Changes in Mineral and Organic Soil Carbon Stocks,-23.2,-29,-25.5,-11.6,-19.3,-12.1,-27.5,-19.1,-9.9,-18,-23.7,-27.2,-32,-24.1,-26.2,-29,-25.2,-29.2,-23,-14,-18.6,-31.8,-26.4,-15.3,-12.2,-12.8,-22.7,-22.3,-16.6,-14.5
Land Converted to Cropland,51.8,52.6,53.2,52.5,52.8,57.1,56.2,59.3,55.9,56.2,55.4,55.8,53.5,53.3,52.1,52.2,51.1,51.2,53.5,53.7,55.1,52.1,53.4,54.3,55.5,56.1,54.4,54.6,54.3,54.2
Changes in all Ecosystem Carbon Stocks f,51.8,52.6,53.2,52.5,52.8,57.1,56.2,59.3,55.9,56.2,55.4,55.8,53.5,53.3,52.1,52.2,51.1,51.2,53.5,53.7,55.1,52.1,53.4,54.3,55.5,56.1,54.4,54.6,54.3,54.2
Grassland Remaining Grassland,8.5,8.5,10.2,12.8,0.1,7.9,7.5,10.7,4.6,9.4,-3.3,7.3,5.8,3.9,9.3,10.7,-1.2,12.5,4.8,6.1,20.2,18.7,4,15.9,20.1,13.8,10.4,11.9,12.3,15.1
Changes in Mineral and Organic Soil Carbon Stocks,8.3,8.3,9.9,12.6,-0.5,7.6,6.6,10.5,4.3,8.5,-4.2,6.9,5.4,3.5,9.2,10,-2.8,11.4,4.3,5.4,19.8,17,2.8,15.5,19.3,13.1,9.8,11.3,11.7,14.5
Non-CO2 Emissions from Grassland Fires g,0.2,0.2,0.3,0.2,0.6,0.3,1,0.2,0.3,0.9,0.9,0.5,0.4,0.4,0.2,0.7,1.7,1.1,0.5,0.8,0.4,1.7,1.2,0.4,0.8,0.7,0.6,0.6,0.6,0.6
Land Converted to Grassland,-6.2,-6.1,-5.8,-8.8,-14.4,-17,-20.7,-22.5,-28.8,-33,-38.3,-41.5,-41.7,-41.1,-40.6,-40.1,-41.2,-40.2,-37.2,-36.9,-35.8,-35.3,-34.3,-31,-25.5,-23.9,-24,-24.4,-24.1,-23.2
Changes in all Ecosystem Carbon Stocks f,-6.2,-6.1,-5.8,-8.8,-14.4,-17,-20.7,-22.5,-28.8,-33,-38.3,-41.5,-41.7,-41.1,-40.6,-40.1,-41.2,-40.2,-37.2,-36.9,-35.8,-35.3,-34.3,-31,-25.5,-23.9,-24,-24.4,-24.1,-23.2
Wetlands Remaining Wetlands,-3.5,-3.6,-3.6,-3.6,-3.6,-3.5,-3.6,-3.5,-3.4,-3.3,-3.2,-2.5,-2.6,-2.6,-2.5,-2.6,6.1,6.4,6.4,6.5,6.5,-3.7,-4,-4.1,-4.1,-4.1,-4.1,-4,-4,-4
Changes in Organic Soil Carbon Stocks in Peatlands,1.1,1,0.9,1,0.9,1.1,0.9,1.1,1.1,1.2,1.3,1.2,1,1,1.2,1.1,0.9,1,1,1,1,0.9,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8
Changes in Aboveground and Soil Carbon Stocks in Coastal Wetlands,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-7.7,-7.7,-7.7,-7.7,-7.6,1.3,1.5,1.5,1.5,1.5,-8.5,-8.8,-8.8,-8.8,-8.8,-8.8,-8.8,-8.8,-8.8
CH4 Emissions from Coastal Wetlands Remaining Coastal Wetlands,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
N2O Emissions from Coastal Wetlands Remaining Coastal Wetlands,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Non-CO2 Emissions from Peatlands Remaining Peatlands,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Land Converted to Wetlands,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Changes in Aboveground and Soil Carbon Stocks,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.1,-0.1,-0.1,-0.1,-0.1,(+),(+),(+),(+)
CH4 Emissions from Land Converted to Coastal Wetlands,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Settlements Remaining Settlements,-107.6,-108.2,-106.1,-105.1,-103.5,-103.2,-104.1,-104.5,-106.7,-109.1,-110,-111.3,-110.7,-111.5,-112.2,-113.5,-114,-115.2,-118.2,-120.1,-121.6,-121.9,-121.9,-123.2,-124.3,-123.7,-121.5,-121.4,-121.2,-121.7
Changes in Organic Soil Carbon Stocks,11.3,11.3,11.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.6,11.9,12.2,12.4,12.7,13.1,13.4,13.7,14,14.3,14.7,15.1,15.7,16,16,15.9,15.9
