"Table 3-10:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Transportation,"1,520.20","1,475.40","1,533.60","1,566.50","1,613.80","1,642.00","1,689.90","1,706.90","1,742.50","1,806.80","1,851.40","1,819.20","1,857.60","1,864.40","1,895.40","1,904.20","1,904.00","1,900.90","1,797.00","1,723.90","1,731.20","1,704.20","1,690.70","1,698.30","1,734.60","1,743.60","1,783.20","1,804.80","1,837.80","1,837.50"
,CO2,"1,469.10","1,422.50","1,477.80","1,508.70","1,554.10","1,580.80","1,627.50","1,643.60","1,679.00","1,746.40","1,792.30","1,762.60","1,803.10","1,812.10","1,845.30","1,858.60","1,859.20","1,860.80","1,759.80","1,688.60","1,696.90","1,671.20","1,660.40","1,669.80","1,708.20","1,719.20","1,759.90","1,782.40","1,816.60","1,817.20"
,CH4,6.4,6.3,6.3,6.2,6.2,6.1,6,5.8,5.6,5,4.8,4.6,4.4,4.2,4.1,4,3.9,3.7,3.5,3.3,3.3,3.3,3,2.9,2.7,2.6,2.5,2.5,2.4,2.4
,N2O,44.7,46.6,49.6,51.6,53.6,55.2,56.5,57.5,57.9,55.4,54.2,52,50.1,48.1,45.9,41.6,40.8,36.4,33.8,32,31.1,29.7,27.3,25.6,23.7,21.7,20.8,19.8,18.8,18
,Electric Power,"1,840.90","1,838.30","1,851.70","1,928.10","1,952.90","1,969.80","2,043.40","2,111.30","2,201.00","2,214.20","2,322.10","2,283.00","2,299.40","2,332.00","2,364.60","2,431.00","2,375.10","2,442.40","2,390.30","2,174.20","2,289.70","2,187.90","2,050.90","2,067.90","2,067.10","1,928.30","1,836.20","1,757.90","1,778.50","1,628.40"
,CO2,"1,820.00","1,817.40","1,830.70","1,906.20","1,930.50","1,947.20","2,020.20","2,087.50","2,176.60","2,189.70","2,296.20","2,257.20","2,272.20","2,303.70","2,335.10","2,400.10","2,344.40","2,411.10","2,359.30","2,145.30","2,258.60","2,158.10","2,023.30","2,038.30","2,037.20","1,900.60","1,808.90","1,732.00","1,752.90","1,606.00"
,CH4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,1,1.1,1,1.1,1.2,1.2,1.1,1.2,1.3
,N2O,20.5,20.5,20.6,21.5,21.9,22.1,22.7,23.3,24,24,25.3,25.2,26.4,27.6,28.8,30.1,29.8,30.3,30,27.9,30.1,28.9,26.5,28.6,28.9,26.5,26.2,24.8,24.4,21.1
,Industrial,858.7,843.9,871.3,870.2,878,895.2,928.3,923.2,895.8,848.1,874.6,871.6,857.8,857.7,881.8,857.6,880.5,872.1,824.8,748,801.1,801.1,811.1,838.7,818.8,801.5,796.7,794.2,817.6,826.5
,CO2,853.8,839.1,866.4,865.3,872.9,889.9,922.9,917.8,890.8,843.2,869.5,866.8,853.3,853.2,877.1,852.9,875.7,867.4,820.5,744.2,796.8,796.8,806.7,834.3,814.5,797.3,792.5,790.1,813.6,822.5
,CH4,1.8,1.8,1.8,1.8,1.9,2,2,2,1.9,1.9,1.9,1.8,1.7,1.7,1.8,1.7,1.8,1.7,1.6,1.4,1.6,1.6,1.6,1.7,1.6,1.6,1.6,1.5,1.5,1.5
,N2O,3.1,3,3.1,3.1,3.2,3.3,3.3,3.4,3.2,3.1,3.1,3,2.8,2.8,3,2.9,3,2.9,2.7,2.3,2.7,2.7,2.7,2.8,2.7,2.6,2.6,2.5,2.5,2.5
,Residential,344.9,354.2,360.8,372.2,362.8,358.8,389.5,370,336,355.5,376.6,367.5,365.6,384.9,373.9,363.8,326.1,345.9,353,341.8,340.4,331.6,287,335,352.5,322.6,297.4,297.9,343.5,342.3
,CO2,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.1,336.8
,CH4,5.2,5.4,5.7,5,4.8,4.7,5,4.1,3.6,3.8,4,3.7,3.7,3.9,4,4.1,3.6,3.9,4.2,4.5,4.7,4.6,3.8,4.9,5,4.5,3.9,3.8,4.5,4.6
,N2O,1,1.1,1.1,1,1,1,1,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,1,1,0.9,0.8,0.7,0.9,0.9
,Commercial,229.8,234.2,229.5,224.5,226.1,229.2,239.1,239.3,221.5,222.1,238,229.9,230.4,241.6,239.4,228.6,213.1,224.5,228.9,229.5,225.9,225.8,201.5,225.6,233.8,246.2,233.1,233.5,247.3,251.3
,CO2,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.6,232,245.7,249.7
,CH4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.1,1.1,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.2
,N2O,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3
,U.S. Territories a,21.8,21.6,23.2,24.1,25.8,23.8,22.7,23.2,22.6,21.1,42.5,52.8,49.5,55.3,57,56.1,54.5,50.6,40.8,39.8,35,33.5,33.3,27.7,28.8,29.3,26.1,24.6,24.7,24.7
,Total,"4,816.30","4,767.50","4,870.10","4,985.60","5,059.40","5,118.80","5,312.80","5,373.90","5,419.50","5,468.00","5,705.20","5,623.90","5,660.30","5,736.00","5,812.20","5,841.20","5,753.40","5,836.30","5,634.80","5,257.10","5,423.30","5,284.20","5,074.40","5,193.30","5,235.70","5,071.60","4,972.80","4,912.90","5,049.50","4,910.60"
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a U.S. Territories are not apportioned by sector, and emissions shown in the table are total greenhouse gas emissions from all fuel combustion sources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
