"Table 3-103:  NOx, CO, and NMVOC Emissions from Energy-Related Activities (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NOx,"21,106","20,824","20,882","20,964","20,941","20,586","20,444","20,331","20,029","18,825","18,476","17,546","19,728","18,588","17,438","16,602","15,709","14,817","13,779","12,798","12,004","11,796","11,266","10,736","10,198","9,429","8,268","7,928","7,471","7,080"
  Mobile Fossil Fuel Combustion,"10,862","10,795","10,728","10,662","10,598","10,536","10,475","10,528","10,385","10,183","10,199","9,696","12,485","11,755","11,025","10,295","9,740","9,186","8,523","7,797","7,290","7,294","6,909","6,523","6,138","5,634","4,739","4,563","4,123","3,862"
  Stationary Fossil Fuel Combustion,"10,023","9,834","9,934","10,084","10,137","9,862","9,708","9,534","9,369","8,390","8,053","7,623","6,825","6,401","5,973","5,858","5,511","5,163","4,780","4,452","4,092","3,807","3,645","3,483","3,313","3,084","2,856","2,728","2,711","2,581"
  Oil and Gas Activities,139,110,134,112,106,100,126,130,130,109,111,113,321,324,322,321,344,368,391,468,545,622,631,641,650,622,594,565,565,565
  Waste Combustion,82,85,86,107,100,88,135,139,145,143,114,114,98,108,118,128,114,100,85,81,77,73,81,89,97,88,80,71,71,71
  International Bunker Fuels a,"1,956","2,149","1,870","1,590","1,525","1,538","1,547","1,660","1,766","1,471","1,344","1,258","1,318","1,413","1,665","1,704","1,728","1,733","1,832","1,692","1,790","1,553","1,398","1,204","1,211","1,363","1,470","1,481","1,462","1,296"
CO,"125,640","121,652","117,619","112,858","108,399","104,402","100,165","97,088","94,909","91,276","89,715","86,046","73,963","70,974","67,980","64,985","60,778","56,572","51,670","44,819","45,148","44,088","42,803","41,519","40,234","38,521","34,461","33,582","32,048","31,208"
  Mobile Fossil Fuel Combustion,"119,360","115,015","110,669","106,323","101,977","97,630","93,283","90,161","87,823","83,382","83,559","79,851","67,235","64,362","61,488","58,615","54,712","50,809","46,217","39,256","39,475","38,305","36,915","35,525","34,135","32,635","28,789","28,124","26,590","25,749"
  Stationary Fossil Fuel Combustion,"5,000","5,313","5,583","5,069","5,007","5,383","3,933","3,927","3,928","5,024","4,340","4,377","4,965","4,862","4,756","4,648","4,423","4,198","3,969","4,036","4,103","4,170","4,009","3,847","3,686","3,688","3,690","3,692","3,692","3,692"
  Waste Combustion,978,"1,011","1,030","1,130","1,109","1,073","2,628","2,668","2,826","2,725","1,670","1,672","1,439","1,428","1,416","1,403","1,350","1,298","1,244","1,164","1,084","1,003","1,261","1,518","1,776","1,576","1,375","1,175","1,175","1,175"
  Oil and Gas Activities,302,313,337,337,307,316,321,333,332,145,146,147,323,322,320,318,292,266,240,363,487,610,619,628,637,622,607,592,592,592
  International Bunker Fuelsa,103,120,114,109,109,112,114,121,122,121,128,117,115,118,126,133,133,135,129,121,136,137,133,131,137,144,150,156,160,157
NMVOCs,"12,620","12,278","11,872","11,365","10,915","10,538","10,061","9,698","9,523","9,347","8,953","8,610","8,813","8,276","7,737","7,191","7,354","7,518","7,305","7,200","7,464","7,759","7,589","7,419","7,247","6,738","5,941","5,626","5,410","5,304"
  Mobile Fossil Fuel Combustion,"10,932","10,495","10,057","9,619","9,183","8,745","8,306","7,926","7,741","7,586","7,230","6,872","6,440","6,201","5,962","5,724","5,634","5,544","5,078","4,650","4,591","4,562","4,293","4,023","3,754","3,458","2,873","2,758","2,543","2,437"
  Oil and Gas Activities,554,581,573,589,587,582,433,442,440,414,389,400,545,533,522,510,867,"1,225","1,582","1,894","2,205","2,517","2,629","2,741","2,853","2,656","2,459","2,262","2,262","2,262"
  Stationary Fossil Fuel Combustion,912,975,"1,012",901,897,973,"1,018","1,017","1,017","1,045","1,077","1,080","1,585","1,298","1,011",716,654,593,531,553,576,599,566,532,497,493,489,496,496,496
  Waste Combustion,222,226,230,256,248,237,304,313,326,302,257,258,243,243,242,241,199,156,114,103,92,81,102,122,143,132,121,109,109,109
  International Bunker Fuelsa,57,64,56,49,47,48,48,52,55,47,45,42,43,45,52,54,55,55,57,53,56,51,46,41,42,47,50,51,51,46
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a These values are presented for informational purposes only and are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
