"Table 3-104: CO2, CH4, and N2O Emissions from International Bunker Fuels (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Mode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,103.5,117.6,107.9,97.8,96.7,98.5,99.7,107,110.5,102.7,101.8,93.8,94.5,98.4,108.5,113.2,114.2,115.4,114.4,106.4,117,111.7,105.8,99.8,103.4,110.9,116.6,120.1,122.1,116.1
,Aviation,38,46.3,46.8,46.9,48.3,49.9,51,54.5,54.1,57.6,62,56.4,54.6,55.2,56.2,60.1,60.3,61.5,56.1,52.8,61,64.8,64.5,65.7,69.6,71.9,74.1,77.7,80.8,80.7
,     Commercial,30,38.3,40.2,40.5,42.6,44.4,45.8,49.7,49.2,52.8,57.4,51.3,49.9,50.6,51.4,55.6,56.4,57.5,52.4,49.2,57.4,61.7,61.4,62.8,66.3,39,42.6,42.4,41.3,35.4
,     Military,8.1,8,6.6,6.4,5.8,5.5,5.2,4.8,4.9,4.7,4.7,5.1,4.7,4.6,4.8,4.5,3.9,4,3.8,3.6,3.6,3.1,3.1,2.9,3.3,0.1,0.1,0.1,0.1,0.1
,Marine,65.4,71.2,61.1,50.9,48.3,48.6,48.7,52.5,56.4,45.2,39.8,37.4,39.9,43.2,52.3,53.1,53.9,53.9,58.2,53.6,56.1,46.9,41.3,34.1,33.8,0,0,0,0,0
,CH4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Aviation a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.1,1.1,1
,Marine,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.7,0.8,0.8
,N2O,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1,1,1,1,0.9,1,1,0.9,0.9,0.9,0.3,0.3,0.3,0.3,0.3
,Aviation,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,112,117.7,121.3,123.3,117.2
,Marine,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Total,104.5,118.7,108.9,98.8,97.6,99.5,100.7,108,111.6,103.7,102.8,94.7,95.4,99.3,109.6,114.3,115.3,116.5,115.5,107.5,118.2,112.8,106.9,100.8,104.4,112,117.7,121.3,123.3,117.2
,Notes: Totals may not sum due to independent rounding. Includes aircraft cruise altitude emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a CH4 emissions from aviation are estimated to be zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
