"Table 3-105:  CO2, CH4, and N2O Emissions from International Bunker Fuels (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Mode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,"103,463","117,569","107,863","97,829","96,689","98,492","99,750","106,961","110,491","102,733","101,795","93,782","94,500","98,386","108,507","113,232","114,186","115,378","114,378","106,435","117,025","111,680","105,822","99,779","103,418","110,908","116,611","120,121","122,112","116,064"
,Aviation,"38,034","46,339","46,769","46,890","48,342","49,903","51,029","54,485","54,080","57,557","62,029","56,385","54,626","55,196","56,239","60,125","60,284","61,489","56,146","52,785","60,967","64,790","64,524","65,664","69,609","71,942","74,059","77,696","80,788","80,714"
,Marine,"65,429","71,230","61,094","50,939","48,347","48,589","48,721","52,476","56,410","45,176","39,766","37,397","39,874","43,190","52,268","53,107","53,902","53,889","58,232","53,650","56,058","46,890","41,298","34,116","33,809","38,967","42,552","42,425","41,324","35,350"
,CH4,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,4,4,4,4,4
,Aviation a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Marine,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,4,4,4,4,4
,N2O,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,Aviation,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,Marine,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Notes: Totals may not sum due to independent rounding. Includes aircraft cruise altitude emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a CH4 emissions from aviation are estimated to be zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
