"Table 3-11:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by End-Use Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Transportation,"1,523.30","1,478.40","1,536.60","1,569.60","1,616.90","1,645.10","1,693.00","1,710.10","1,745.70","1,810.10","1,854.80","1,822.80","1,861.00","1,868.70","1,899.90","1,908.90","1,908.50","1,906.00","1,801.70","1,728.40","1,735.70","1,708.50","1,694.70","1,702.60","1,739.10","1,747.90","1,787.40","1,809.10","1,842.50","1,842.30"
,CO2,"1,472.20","1,425.50","1,480.80","1,511.80","1,557.20","1,583.90","1,630.50","1,646.70","1,682.20","1,749.70","1,795.70","1,766.20","1,806.60","1,816.40","1,849.90","1,863.40","1,863.70","1,865.90","1,764.40","1,693.00","1,701.40","1,675.50","1,664.30","1,674.10","1,712.70","1,723.50","1,764.10","1,786.80","1,821.20","1,821.90"
,CH4,6.4,6.3,6.3,6.2,6.2,6.1,6,5.8,5.6,5,4.8,4.6,4.4,4.2,4.1,4,3.9,3.7,3.5,3.3,3.3,3.3,3,2.9,2.7,2.6,2.5,2.5,2.4,2.4
,N2O,44.7,46.6,49.6,51.6,53.6,55.2,56.5,57.5,57.9,55.4,54.2,52,50.1,48.1,45.9,41.6,40.8,36.4,33.8,32,31.1,29.7,27.3,25.6,23.7,21.7,20.8,19.8,18.8,18
,Industrial,"1,553.00","1,525.80","1,578.60","1,587.60","1,609.60","1,619.40","1,673.30","1,686.90","1,674.80","1,629.80","1,673.00","1,615.60","1,590.00","1,609.60","1,636.80","1,603.40","1,601.30","1,596.30","1,530.70","1,357.80","1,451.00","1,434.60","1,412.20","1,442.20","1,420.50","1,359.10","1,322.10","1,306.10","1,326.30","1,298.30"
,CO2,"1,540.20","1,513.30","1,565.60","1,574.50","1,596.10","1,605.90","1,659.50","1,672.90","1,661.00","1,616.20","1,659.00","1,602.40","1,576.80","1,595.90","1,622.60","1,589.20","1,587.20","1,582.40","1,517.20","1,345.90","1,437.90","1,421.60","1,399.80","1,429.10","1,407.50","1,346.80","1,310.10","1,294.50","1,314.90","1,287.80"
,CH4,2,1.9,2,2,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2,1.9,1.9,2,2,2,2,1.9,1.7,1.9,1.9,2,2,2,1.9,1.9,1.9,1.9,1.9
,N2O,10.8,10.6,10.9,11.1,11.4,11.4,11.6,11.8,11.7,11.6,11.9,11.2,11.3,11.7,12.2,12.2,12.1,11.9,11.6,10.2,11.3,11.1,10.5,11.1,11.1,10.3,10.1,9.8,9.5,8.6
,Residential,944.4,962.8,959,"1,011.40","1,002.00","1,007.90","1,069.30","1,058.00","1,062.30","1,083.20","1,147.40","1,138.80","1,166.70","1,197.40","1,196.10","1,230.90","1,167.10","1,220.00","1,206.60","1,138.60","1,192.10","1,133.40","1,022.50","1,080.40","1,097.40","1,016.40",960.8,924.2,995,933.9
,CO2,931.3,949.3,945.4,998.00,989,994.7,"1,055.60","1,045.20","1,049.80","1,070.50","1,133.90","1,125.50","1,152.70","1,182.70","1,180.90","1,214.90","1,151.90","1,204.10","1,190.40","1,122.70","1,174.90","1,116.90","1,007.90","1,063.90","1,080.60","1,001.10",946.2,910.5,980.2,920.3
,CH4,5.4,5.6,5.8,5.2,4.9,4.9,5.1,4.3,3.8,4,4.2,3.9,4,4.2,4.2,4.4,3.9,4.3,4.6,4.8,5.1,4.9,4.2,5.3,5.4,4.9,4.3,4.2,5,5.1
,N2O,7.7,7.9,7.8,8.2,8.2,8.3,8.6,8.5,8.7,8.7,9.3,9.3,10,10.5,10.9,11.6,11.4,11.7,11.6,11.1,12.2,11.5,10.3,11.3,11.4,10.4,10.3,9.6,9.9,8.6
,Commercial,773.7,778.9,772.8,793.00,804.9,822.6,854.6,895.8,914.2,923.7,987.4,994,993.1,"1,005.00","1,022.40","1,041.90","1,021.90","1,063.50","1,055.00",992.5,"1,009.50",974.2,911.7,940.3,949.9,918.9,876.3,848.8,861,811.4
,CO2,766,771.2,765.2,785.00,796.8,814.4,846.1,886.9,905.1,914.5,977.6,983.9,982.7,994.2,"1,011.20","1,030.10","1,010.10","1,051.30","1,042.90",981,997.5,962.6,900.9,928.7,938.1,907.6,865.2,838.2,850.6,802.1
,CH4,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.7
,N2O,6.5,6.5,6.4,6.7,6.9,7,7.2,7.6,7.9,7.9,8.5,8.8,9.1,9.4,9.9,10.4,10.5,10.7,10.7,10.1,10.7,10.2,9.5,10.2,10.3,9.6,9.5,9,8.8,7.6
,U.S. Territories a,21.8,21.6,23.2,24.1,25.8,23.8,22.7,23.2,22.6,21.1,42.5,52.8,49.5,55.3,57,56.1,54.5,50.6,40.8,39.8,35,33.5,33.3,27.7,28.8,29.3,26.1,24.6,24.7,24.7
,Total,"4,816.30","4,767.50","4,870.10","4,985.60","5,059.40","5,118.80","5,312.80","5,373.90","5,419.50","5,468.00","5,705.20","5,623.90","5,660.30","5,736.00","5,812.20","5,841.20","5,753.40","5,836.30","5,634.80","5,257.10","5,423.30","5,284.20","5,074.40","5,193.30","5,235.70","5,071.60","4,972.80","4,912.90","5,049.50","4,910.60"
,Notes: Totals may not sum due to independent rounding. Emissions from fossil fuel combustion by electric power are allocated based on aggregate national electricity use by each end-use sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a U.S. Territories are not apportioned by sector, and emissions are total greenhouse gas emissions from all fuel combustion sources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
