Table 3-12:  Electric Power Generation by Fuel Type (Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel Type ,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Coal,,54.10%,53.40%,54.40%,54.60%,53.90%,52.70%,53.90%,54.60%,53.40%,52.60%,53.30%,52.60%,51.70%,52.50%,51.40%,51.10%,50.40%,49.90%,49.50%,45.70%,46.00%,43.50%,38.60%,40.20%,39.90%,34.20%,31.40%,30.90%,28.40%,24.20%
,Natural Gas,,10.70%,10.80%,11.40%,11.20%,12.50%,13.10%,11.50%,12.00%,13.00%,13.40%,14.20%,15.50%,16.40%,15.20%,16.50%,17.50%,18.80%,20.30%,20.20%,22.10%,22.70%,23.50%,29.10%,26.40%,26.30%,31.60%,32.70%,30.90%,34.00%,37.30%
,Nuclear,,19.90%,20.80%,21.10%,20.00%,20.70%,21.10%,20.50%,18.90%,19.50%,20.60%,20.70%,21.50%,21.10%,20.50%,20.70%,20.00%,20.10%,20.10%,20.30%,21.00%,20.30%,20.00%,19.80%,20.20%,20.30%,20.40%,20.60%,20.80%,20.10%,20.40%
,Renewables,,11.30%,11.10%,10.00%,10.60%,9.70%,10.90%,11.70%,11.90%,10.50%,10.30%,8.80%,7.10%,8.30%,8.60%,8.30%,8.30%,9.00%,8.00%,8.80%,10.20%,10.00%,12.20%,11.90%,12.50%,12.80%,13.00%,14.70%,16.80%,16.80%,17.60%
,Petroleum,,4.10%,3.80%,3.10%,3.50%,3.20%,2.10%,2.30%,2.60%,3.50%,3.20%,2.90%,3.30%,2.40%,3.10%,3.00%,3.00%,1.50%,1.50%,1.10%,0.90%,0.90%,0.70%,0.50%,0.60%,0.70%,0.70%,0.60%,0.50%,0.60%,0.40%
,Other Gasesa,,+%,+%,+%,+%,+%,0.10%,+%,+%,0.10%,+%,0.10%,+%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
,Net Electricity Generation (Billion kWh)b,,"2,905","2,940","2,938","3,048","3,092","3,197","3,287","3,333","3,462","3,536","3,643","3,582","3,698","3,721","3,809","3,902","3,908","4,005","3,974","3,808","3,971","3,947","3,888","3,901","3,936","3,917","3,917","3,877","4,017","3,962"
,+ Does not exceed 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Other gases include blast furnace gas, propane gas, and other manufactured and waste gases derived from fossil fuels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Represents net electricity generation from the electric power sector. Excludes net electricity generation from commercial and industrial combined-heat-and-power and electricity-only plants. Does not include electricity generation from purchased steam as the fuel used to generate the steam cannot be determined. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
