Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Type a,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gasoline On-Road b,37.5,39.5,42.3,44.3,46,47.5,48.7,49.8,50.2,47.6,46.2,43.5,41.4,39.2,36.5,31.8,30.9,26.3,23.9,22.6,21.3,19.9,17.4,15.3,13.3,11.6,10.2,8.7,7.3,6.2
Passenger Cars,24.1,23.8,24.5,24.9,25.7,26.3,26.6,26.7,26.7,24.6,23.7,22.5,21.3,20,18.7,17.3,15.8,18.1,16.2,15.2,14.3,13.6,11.9,10.5,9,8,7,6,5.1,4.3
Light-Duty Trucks,12.8,15.1,17.1,18.7,19.6,20.5,21.3,22.3,22.5,22.1,21.5,20.1,19.1,18.2,16.7,13.6,14.3,7.1,6.7,6.5,6.1,5.6,4.8,4.2,3.8,3.1,2.7,2.3,1.9,1.6
Medium- and Heavy-Duty Trucks and Buses,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1,1,1,1,0.9,0.8,1.1,1,0.9,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.2
Motorcycles,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ ,+ 
Diesel On-Road b,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.6,2.8,3
Passenger Cars,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,+,+,+,+,+ ,0.1,0.1,0.1,0.1
Light-Duty Trucks,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Medium- and Heavy-Duty Trucks and Buses,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,1,1,1.1,1.2,1.4,1.6,1.8,2,2.2,2.5,2.7,2.8
Alternative Fuel On-Road,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,+,+,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Non-Road,7.1,6.9,7.1,7.1,7.3,7.4,7.5,7.5,7.5,7.5,7.8,8.2,8.3,8.5,9.1,9.4,9.6,9.3,8.8,8.3,8.6,8.5,8.4,8.6,8.4,7.9,8.1,8.4,8.5,8.7
Ships and Boats,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2
Rail c,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Aircraft ,1.7,1.6,1.6,1.6,1.7,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.7,1.7,1.6,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6
Agricultural Equipment d,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.6,1.4,1.4,1.4,1.5,1.5,1.4,1.4,1.1,1.1,1.1,1.1,1.1
Construction/Mining Equipment e,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.7,1.8,1.9,2,2.1,2.1,2,1.9,1.8,1.8,1.8,1.8,2,1.7,1.5,1.6,1.7,1.8,1.9
Other f,2.2,2.2,2.3,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.9,3,3.1,3.3,3.3,3.4,3.3,3.3,3.2,3.4,3.3,3.3,3.3,3.4,3.3,3.4,3.4,3.5,3.6
Total,44.7,46.6,49.6,51.6,53.6,55.2,56.5,57.5,57.9,55.4,54.2,52,50.1,48.1,45.9,41.6,40.8,36.4,33.8,32,31.1,29.7,27.3,25.6,23.7,21.7,20.8,19.8,18.8,18
"Notes: In 2011, FHWA changed its methods for estimating vehicle miles traveled (VMT) and related data. These methodological changes included how vehicles are classified, moving from a system based on body type to one that is based on wheelbase. These changes were first incorporated for the 1990 through 2010 Inventory and apply to the 2007 through 2019 time period. This resulted in large changes in VMT and fuel consumption data by vehicle class, thus leading to a shift in emissions among on-road vehicle classes. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a See Annex 3.2 for definitions of on-road vehicle types. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
