"Table 3-2:  CO2, CH4, and N2O Emissions from Energy (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,"4,894,051","4,848,215","4,955,128","5,057,496","5,140,817","5,194,768","5,383,008","5,454,498","5,501,943","5,576,897","5,785,216","5,700,930","5,742,014","5,812,408","5,907,505","5,932,600","5,844,932","5,921,482","5,719,285","5,327,526","5,495,374","5,356,073","5,155,672","5,291,193","5,335,972","5,189,826","5,074,805","5,035,743","5,203,702","5,081,445"
,Fossil Fuel Combustion,"4,731,466","4,680,858","4,779,991","4,893,308","4,964,870","5,022,522","5,214,331","5,274,912","5,320,581","5,371,982","5,608,609","5,530,665","5,567,973","5,644,298","5,721,277","5,753,507","5,667,213","5,754,027","5,555,537","5,182,208","5,346,336","5,210,068","5,006,200","5,123,343","5,167,471","5,008,270","4,911,532","4,854,480","4,991,420","4,856,702"
,Non-Energy Use of Fuels,"112,766","118,155","124,568","113,501","124,026","121,447","118,574","129,352","134,503","157,907","129,105","122,713","125,412","119,350","136,788","129,135","127,135","116,110","111,770","94,718","96,852","90,457","89,957","101,784","97,388","108,476","99,840","113,539","129,728","128,763"
,Petroleum Systems ,"9,709","10,000","9,962","10,021","10,274","10,739","11,153","11,559","11,476","10,895","11,032","11,119","11,241","11,485","11,759","12,059","12,247","12,487","13,365","13,567","15,412","17,874","21,882","25,925","30,419","32,412","21,847","24,979","37,115","47,269"
,Natural Gas Systems,"32,042","31,131","30,994","30,792","30,685","28,664","26,872","26,618","24,380","24,932","25,143","24,806","25,324","24,938","25,059","25,179","25,569","25,881","26,475","25,496","25,924","27,662","26,994","28,715","29,326","29,127","30,054","31,200","33,885","37,234"
,Incineration of Waste,"8,062","8,066","9,606","9,868","10,956","11,389","12,071","12,051","10,996","11,174","11,320","11,620","12,057","12,330","12,616","12,713","12,761","12,970","12,131","11,530","10,842","10,006","10,632","11,419","11,360","11,533","11,525","11,537","11,547","11,471"
,Abandoned Oil and Gas Wells,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,Biomass-Wood a,"215,186","215,268","225,041","219,290","225,012","229,091","235,726","228,481","210,392","213,337","218,088","193,491","192,830","193,833","205,086","206,901","202,855","202,317","199,932","188,632","215,550","214,922","208,300","227,340","233,762","224,730","224,730","215,712","211,511","219,794"
,International Bunker Fuels b,"103,463","117,569","107,863","97,829","96,689","98,492","99,750","106,961","110,491","102,733","101,795","93,782","94,500","98,386","108,507","113,232","114,186","115,378","114,378","106,435","117,025","111,680","105,822","99,779","103,418","110,803","110,908","116,611","120,121","122,112"
,Biofuels-Ethanol a,"4,227","4,897","5,568","6,507","7,286","7,816","5,606","7,099","7,844","8,155","9,347","9,840","11,719","15,975","20,080","22,943","30,985","38,924","54,739","62,272","72,647","72,881","72,827","74,743","76,075","78,934","78,934","81,250","82,088","81,917"
,Biofuels-Biodiesel a,0,0,0,0,0,0,0,0,0,0,0,97,154,127,253,856,"2,458","3,332","2,860","3,032","2,450","8,349","8,470","13,462","13,349","14,077","14,077","19,648","18,705","17,936"
,CH4,"14,451","14,457","14,263","13,738","13,809","13,386","13,317","13,236","12,873","12,362","12,276","12,269","11,908","11,902","11,934","11,733","12,032","11,897","12,433","12,083","12,031","11,572","11,220","11,418","11,302","11,117","11,095","10,596","10,665","10,680"
,Natural Gas Systems,"7,478","7,610","7,534","7,638","7,672","7,315","7,229","7,242","7,013","6,769","6,762","6,813","6,689","6,642","6,630","6,567","6,708","6,610","6,676","6,336","6,131","6,055","5,944","6,063","5,936","5,944","5,994","5,894","5,949","6,101"
,Coal Mining,"3,860","3,730","3,628","3,091","3,104","3,056","3,038","3,017","3,029","2,848","2,730","2,720","2,552","2,559","2,611","2,565","2,622","2,591","3,026","3,194","3,286","2,846","2,649","2,585","2,583","2,449","2,154","2,191","2,109","1,895"
,Petroleum Systems,"1,955","1,950","1,896","1,819","1,790","1,769","1,782","1,792","1,712","1,638","1,649","1,657","1,618","1,656","1,654","1,579","1,703","1,697","1,733","1,557","1,590","1,663","1,664","1,764","1,774","1,720","1,659","1,568","1,574","1,492"
,Stationary Combustion,344,351,362,339,331,331,344,311,285,291,308,289,292,302,310,313,294,310,318,318,338,331,302,348,354,336,339,315,306,342
,Abandoned Oil and Gas Wells,271,273,275,277,278,280,281,281,282,283,284,286,287,287,287,287,287,288,288,289,290,290,291,292,293,286,294,296,288,290
,Abandoned Underground Coal Mines,288,294,317,328,387,392,403,360,329,332,350,319,293,286,276,264,261,254,253,254,263,257,249,249,253,256,268,257,247,237
,Mobile Combustion,256,250,252,248,246,243,239,232,223,201,193,185,176,169,166,158,156,147,139,134,133,130,121,117,109,105,105,102,100,98
,Incineration of Waste,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuels b,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,4,4,4,4,4
,N2O,236,242,253,262,270,276,283,288,291,282,283,275,272,269,267,256,253,239,229,215,220,211,195,197,191,177,177,172,163,159
,Stationary Combustion,84,84,85,87,89,90,92,94,95,95,100,99,103,107,111,115,114,116,114,106,115,110,102,110,111,102,102,101,95,95
,Mobile Combustion,150,157,166,173,180,185,189,193,194,186,182,175,168,161,154,139,137,122,113,107,104,100,92,86,79,73,73,70,67,63
,Incineration of Waste,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Petroleum Systems,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ ,+ 
,Natural Gas Systems,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,0.1,+,0.1,+,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuels b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Emissions from International Bunker Fuels are not included in totals. These values are presented for informational purposes only, in line with the 2006 IPCC Guidelines and UNFCCC reporting obligations. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
