Table 3-21:  Adjusted Consumption of Fossil Fuels for Non-Energy Uses (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Industry,"4,317.20","4,358.00","4,539.30","4,454.10","4,780.40","4,731.30","4,803.10","5,035.70","5,201.30","5,648.60","5,190.70","5,007.30","5,054.30","4,855.70","5,261.90","5,111.10",,,,,,,,,,"4,864.50","4,833.10","5,089.60","5,445.40","5,492.30"
,Industrial Coking Coal, NO , NO , NO ,1,8.9,37.8,24.1,0,10.9,40.1,53.5,24.8,40.3,51.9,167.8,80.4,,,,,,,,,,122.4,89.6,113,124.8,132.1
,Industrial Other Coal ,7.6,7.8,8.8,9.3,10.1,10.5,10.6,10.4,9.7,10.3,11.5,10.5,11.3,11.1,11.1,11,,,,,,,,,,9.5,9.5,9.5,9.5,9.5
,Natural Gas to Chemical Plants,282.4,276.3,295.7,306.5,329.8,348.5,365.5,379.7,408.3,397.2,385,387.9,366.1,318.1,275.6,260.9,,,,,,,,,,418.9,496.4,588,675.9,664.6
,Asphalt & Road Oil,"1,170.20","1,076.50","1,102.20","1,149.00","1,172.90","1,178.20","1,175.90","1,223.60","1,262.60","1,324.40","1,275.70","1,256.90","1,240.00","1,219.50","1,303.80","1,323.20",,,,,,,,,,831.7,853.4,849.2,792.8,843.9
,HGL,"1,218.40","1,339.60","1,432.40","1,358.50","1,588.80","1,567.50","1,657.40","1,703.30","1,655.40","1,935.10","1,697.90","1,628.70","1,709.00","1,589.20","1,618.10","1,610.40",,,,,,,,,,"2,160.20","2,128.00","2,193.50","2,505.10","2,545.10"
,Lubricants ,186.3,166.7,170,173.1,180.9,177.8,172.5,182.3,190.8,192.8,189.9,174,171.9,159,161,160.2,,,,,,,,,,142.1,135.1,124.9,121.9,117.6
,Pentanes Plus,117.5,137.4,152,154.6,160.2,160.8,169.1,155.9,142,176.8,165.9,130.6,108.5,103.5,102.3,95.4,,,,,,,,,,78.3,53.1,81.7,105.2,154.7
,Naphtha (<401 °F),327,279.8,355.7,326.7,377.2,355.3,457,508.8,564.4,486.6,593.7,489.9,565,575.4,690.4,679.5,,,,,,,,,,418.1,398.2,413,421,368.8
,Other Oil (>401 °F),663.6,743.9,673.8,668,642.7,600.3,524.1,642.6,617.1,638.6,533.8,506.7,436.5,482.9,529,499.5,,,,,,,,,,216.9,204.6,242.9,219,211.7
,Still Gas,36.7,40.6,28.5,45.6,35.4,47.9,2.2,12.1,6.2,23,17,49.3,61.7,59,62.9,67.7,,,,,,,,,,162.2,166.1,163.8,166.9,158.7
,Petroleum Coke,28.1,11.8,76.8,22.1,43.1,34.5,28.8,0,57.1,121.6,8.5,97.4,66.6,41.5,136.8,106.2,,,,,,,,,,NO,NO,NO,NO,NO
,Special Naphtha,101.1,82.7,99,97.9,77,67.7,71.3,68.8,103.9,141.2,94.4,77.9,99.5,75.8,47.3,60.9,,,,,,,,,,97.1,89,95.3,87,89.3
,Distillate Fuel Oil,7,7.1,7.1,7.1,6.8,6.8,6.8,6.8,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,,,,,,,,,,5.8,5.8,5.8,5.8,5.8
,Waxes,33.3,35.1,37.3,40,40.6,40.6,48.7,43.7,42.4,37.4,33.1,36.3,32.2,31,30.8,31.4,,,,,,,,,,12.4,12.8,10.2,12.4,10.4
,Miscellaneous Products,137.8,152.6,100.1,94.7,105.9,97.1,89,97.7,119,111.9,119.2,124.9,134.2,126,113.4,112.8,,,,,,,,,,188.9,191.3,198.8,198,180.2
,Transportation,176,157.5,160.5,163.5,170.8,167.9,163,172.1,180.2,182.1,179.4,164.3,162.4,150.1,152.1,151.3,,,,,,,,,,162.8,154.4,142,137,132.1
,Lubricants,176,157.5,160.5,163.5,170.8,167.9,163,172.1,180.2,182.1,179.4,164.3,162.4,150.1,152.1,151.3,,,,,,,,,,162.8,154.4,142,137,132.1
,U.S. Territories,50.8,64.4,35.6,38.8,30.4,55.4,72.7,77.4,76.6,135.2,140.8,85.5,140.2,120.6,113.4,114.9,,,,,,,,,,10.3,10.5,10.7,10.7,10.7
,Lubricants,0.7,0.6,1.5,1.7,1.9,2,1.5,2.5,1.3,1.4,3.1,2.5,3,4.9,5.1,4.6,,,,,,,,,,1,1,1,1,1
,Other Petroleum (Misc. Prod.),50.1,63.8,34.1,37.1,28.5,53.4,71.3,74.9,75.3,133.9,137.7,83,137.2,115.8,108.3,110.3,,,,,,,,,,9.3,9.5,9.6,9.6,9.6
,Total,"4,544.00","4,579.80","4,735.40","4,656.40","4,981.70","4,954.70","5,038.80","5,285.20","5,458.10","5,965.90","5,510.90","5,257.10","5,356.90","5,126.50","5,527.40","5,377.30",,,,,,,,,,"5,037.70","4,998.00","5,242.30","5,593.00","5,635.00"
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
