"Table 3-22:  2019 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",,,,,,
,,,,,,
,,Adjusted,Carbon Content Coefficient,Potential Carbon,Storage,Carbon
,,Non-Energy Usea,,,Factor,Emissions
,Sector/Fuel Type,(TBtu),(MMT C/QBtu),(MMT C),,(MMT CO2 Eq.)
,Industry,"5,492.30",NA,94.6,NA,119.2
,Industrial Coking Coal,132.1,25.59,3.4,0.1,11.2
,Industrial Other Coal,9.5,26.07,0.2,0.62,0.3
,Natural Gas to       Chemical Plants,664.6,14.47,9.6,0.62,13.4
,Asphalt & Road Oil,843.9,20.55,17.3,1,0.3
,HGL,"2,545.10",16.85,42.9,0.62,59.8
,Lubricants,117.6,20.2,2.4,0.09,7.9
,Pentanes Plus,154.7,18.24,2.8,0.62,3.9
,Naphtha (<401° F),368.8,18.55,6.8,0.62,9.5
,Other Oil (>401° F),211.7,20.17,4.3,0.62,6
,Still Gas,158.7,17.51,2.8,0.62,3.9
,Petroleum Coke,NO,27.85,NO,0.3,NO
,Special Naphtha,89.3,19.74,1.8,0.62,2.5
,Distillate Fuel Oil,5.8,20.22,0.1,0.5,0.2
,Waxes,10.4,19.8,0.2,0.58,0.3
,Miscellaneous Products,180.2,0,0,0,0
,Transportation,132.1,NA,2.7,NA,8.9
,Lubricants,132.1,20.2,2.7,0.09,8.9
,U.S. Territories,10.7,NA,0.2,NA,0.7
,Lubricants,1,20.2,+,0.09,0.1
,Other Petroleum (Misc. Prod.),9.6,20,0.2,0.1,0.6
,Total,"5,635.00",,97.5,,128.8
,Note: Totals may not sum due to independent rounding.,,,,,
,"+ Does not exceed 0.05 TBtu, MMT C, or MMT CO2 Eq.",,,,,
,NA (Not Applicable),,,,,
,NO (Not Occurring),,,,,
,"a To avoid double counting, net exports have been deducted.",,,,,
