Table 3-23:  Approach 2 Quantitative Uncertainty Estimates for CO2 Emissions from Non-Energy Uses of Fossil Fuels (MMT CO2 Eq. and Percent),,,,,,,,,
,,,,,,,,,
,Source,Gas,2019 Emission Estimate,,Uncertainty Range Relative to Emission Estimate a,,,,
,,,(MMT CO2 Eq.),,(MMT CO2 Eq.),,,(%),
,,,,,Lower,Upper,Lower,,Upper
,,,,,Bound,Bound,Bound,,Bound
,Feedstocks,CO2,99.3,,56.4,160.4,-43%,,62%
,Asphalt,CO2,0.3,,0.1,0.6,-58%,,118%
,Lubricants,CO2,16.9,,14,19.6,-17%,,16%
,Waxes,CO2,0.3,,0.2,0.6,-24%,,90%
,Other,CO2,12,,2.5,13.9,-79%,,16%
,Total,CO2,128.8,,81,187.2,-37%,,45%
,Note: Totals may not sum due to independent rounding.,,,,,,,,
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,,,
