"Table 3-25:  CO2, CH4, and N2O Emissions from the Incineration of Waste (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Waste Product,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,8.1,8.1,9.6,9.9,11,11.4,12.1,12.1,11,11.2,11.3,11.6,12.1,12.3,12.6,12.7,12.8,13,12.1,11.5,10.8,10,10.6,11.4,11.4,11.5,11.5,11.5,11.5,11.5
,Plastics,5.7,5.4,6.2,5.9,6.2,6.4,6.8,6.9,6.1,6.3,6.3,6.5,6.8,6.9,7.1,7.2,7,6.9,6.4,6.2,6.1,5.9,5.8,5.9,6.1,6.3,6.4,6.5,6.6,6.6
,Synthetic Rubber in Tires,0.3,0.5,0.7,1,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.7,1.5,1.3,1.1,1.3,1.6,1.5,1.4,1.4,1.3,1.3,1.2
,Carbon Black in Tires,0.4,0.6,0.9,1.2,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2,2.1,2.3,2.1,1.9,1.6,1.3,1.6,1.9,1.8,1.8,1.7,1.5,1.5,1.5
,Synthetic Rubber in MSW,0.9,0.8,0.9,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
,Synthetic Fibers,0.8,0.8,0.9,0.9,1,1.1,1.2,1.1,1,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Total,8.5,8.4,10,10.3,11.4,11.8,12.5,12.5,11.4,11.5,11.7,12,12.4,12.7,13,13.1,13.1,13.3,12.5,11.9,11.2,10.3,10.9,11.7,11.7,11.8,11.8,11.8,11.9,11.8
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
