Table 3-27:  Municipal Solid Waste Generation (Metric Tons) and Percent Combusted (BioCycle dataset),,,,
,,,,
,Year,Waste Discarded,Waste Incinerated,Incinerated (% of Discards)
,1990,"235,733,657"," 30,632,057 ",13.0%
,1991,218980389.6," 25,462,836 ",11.6%
,1992,219471420.7," 29,086,574 ",13.3%
,1993,225494956.5," 27,838,884 ",12.3%
,1994,225545188.2," 29,291,583 ",13.0%
,1995,216364995.5," 29,639,040 ",13.7%
,1996,213891632.6," 29,707,171 ",13.9%
,1997,216209528.6," 27,798,368 ",12.9%
,1998,232807691.6," 25,489,893 ",10.9%
,1999,232549815.5," 24,296,249 ",10.4%
,2000,252328354," 25,974,978 ",10.3%
,2001,249455939," 25,942,036 ",10.4%
,2002,245630364.2," 25,802,917 ",10.5%
,2003,248681435.1," 25,930,542 ",10.4%
,2004,251581669.1," 26,037,823 ",10.3%
,2005,"259,559,787"," 25,973,520 ",10.0%
,2006,267526492.9," 25,853,401 ",9.7%
,2007,268279240," 24,788,539 ",9.2%
,2008,268541088.3," 23,674,017 ",8.8%
,2009,270067785.5," 22,714,122 ",8.4%
,2010,271592990.8," 21,741,734 ",8.0%
,2011,273116704," 20,756,870 ",7.6%
,2012 a,273116704," 20,756,870 ",7.6%
,2013 a,273116704," 20,756,870 ",7.6%
,2014 a,273116704," 20,756,870 ",7.6%
,2015 a,273116704," 20,756,870 ",7.6%
,2016 a,273116704," 20,756,870 ",7.6%
,2017 a,273116704," 20,756,870 ",7.6%
,2018 a,273116704," 20,756,870 ",7.6%
,2019 a,273116704," 20,756,870 ",7.6%
,a Assumed equal to 2011 value.,,,
,"Source: van Haaren et al. (2010), Shin (2014). ",,,
