Table 3?38:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2015,2016,2017,2018,2019
,Exploration,3.0,3.0,3.0,3.0,2.5,2.3,2.6,3.5,2.3,1.5,2.4,3.1,2.5,3.3,3.7,4.5,5.7,5.9,7.1,3.8,5.4,7.2,7.7,6.6,5.1,2.1,0.5,0.4,0.4,0.3,0.3
,Production,45.1,44.9,43.5,41.7,41.4,41.0,41.1,40.4,39.5,38.5,37.9,37.4,37.1,37.2,36.8,34.0,36.0,35.6,35.3,34.2,33.5,33.5,33.0,36.6,38.3,38.4,37.7,38.0,35.9,37.7,37.7
,Pneumatic Controllers,19.8,19.8,19.2,18.4,18.3,18.2,18.1,18.0,17.8,17.7,17.6,17.4,17.3,17.1,17.0,16.8,16.7,16.5,16.3,16.1,15.9,15.7,14.5,17.6,18.4,18.8,19.6,20.0,17.3,17.5,17.5
,Offshore Production,9.3,9.4,9.4,9.2,9.7,9.9,10.2,9.8,9.7,9.6,9.1,9.0,9.0,9.1,9.1,6.5,8.7,8.5,8.1,7.4,6.7,6.5,6.3,6.0,5.8,5.5,5.1,5.1,5.0,5.0,5.0
,Gas Engines,2.2,,,,,,,,,,,,,,,1.8,,,,,,,,,,,2.5,2.4,2.4,2.4,2.4
,Equipment Leaks,2.0,2.2,2.1,2.0,2.0,1.9,2.0,2.0,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2.0,2.1,2.2,2.3,2.5,2.5,2.4,2.4,2.4,2.4,2.3
,Produced Water,2.3,,,,,,,,,,,,,,,1.6,,,,,,,,,,,2.1,1.9,2.0,2.1,2.1
,Assoc Gas Flaring,0.5,,,,,,,,,,,,,,,0.4,,,,,,,,,,,1.2,0.7,1.0,1.7,2.0
,Other Sources,8.9,,,,,,,,,,,,,,,4.9,,,,,,,,,,,5.8,5.5,5.2,5.1,6.2
,Crude Oil Transportation,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Refining,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9
,Total ,48.9,48.7,47.4,45.5,44.8,44.2,44.6,44.8,42.8,40.9,41.2,41.4,40.5,41.4,41.4,39.5,42.6,42.4,43.3,38.9,39.7,41.6,41.6,44.1,44.4,41.5,39.2,39.3,37.3,39.1,39.1
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
