Table 3-39:  CH4 Emissions from Petroleum Systems (kt CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Exploration,119,119,121,119,101,93,105,141,94,60,96,124,99,133,146,182,228,238,284,154,216,286,309,262,205,83,19,14,15,11
,Production  ,"1,802","1,797","1,742","1,666","1,655","1,641","1,642","1,616","1,582","1,542","1,516","1,498","1,484","1,487","1,471","1,361","1,439","1,424","1,414","1,370","1,340","1,340","1,319","1,464","1,530","1,535","1,508","1,519","1,438","1,507"
,Pneumatic Controllers,792,794,768,736,732,727,723,718,713,708,703,697,691,685,679,673,666,659,652,645,637,629,580,703,738,750,785,799,694,699
,Offshore Production,374,375,377,369,387,394,407,393,387,382,365,359,359,363,365,261,346,338,324,297,268,260,252,241,230,221,206,205,199,201
,Gas Engines,88,82,80,76,75,75,77,78,77,76,77,78,78,78,80,74,82,82,86,86,88,90,94,98,102,99,95,94,96,98
,Equipment Leaks,82,88,85,82,79,78,79,79,77,73,74,74,73,72,73,81,74,74,78,78,80,83,88,93,99,101,97,96,95,94
,Produced Water,91,51,49,47,49,50,52,53,54,56,57,59,60,61,63,62,66,67,68,70,71,73,76,78,82,82,77,79,83,85
,Assoc Gas Flaring,20,212,195,177,163,150,140,131,118,101,94,86,79,73,66,15,54,50,46,41,38,37,45,54,64,49,29,38,68,82
,Other Sources,355,196,187,179,171,166,165,163,155,145,147,145,143,153,146,196,150,153,159,153,158,167,184,199,216,233,219,207,203,249
,Crude Oil Transportation,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,8,8,8,8,9
,Refining,27,27,27,28,28,28,29,30,30,30,31,31,30,31,31,31,31,31,30,29,29,31,30,30,31,33,33,33,31,36
,Total ,"1,955","1,950","1,896","1,819","1,790","1,769","1,782","1,792","1,712","1,638","1,649","1,657","1,618","1,656","1,654","1,579","1,703","1,697","1,733","1,557","1,590","1,663","1,664","1,764","1,774","1,659","1,568","1,574","1,492","1,563"
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
