Table 3-45:  Recalculations of CO2 in Petroleum Systems (MMT CO2),,,,
,Segment/Source,"Previous Estimate Year 2018,","Current Estimate Year 2018,",Current Estimate
,,2020 Inventory,2021 Inventory,"Year 2019,"
,,,,2021 Inventory
,Exploration,2.8,2.9,2.1
,HF Oil Well Completions,2.7,2.9,2.1
,Production ,30.3,30.5,40.2
,Produced Water ,NE,0,0
,Tanks,6.4,6.3,6.1
,Associated Gas Flaring,19,19.3,25.4
,Miscellaneous Flaring,4.2,4.2,7.9
,Transportation,+,+,+
,Refining,3.7,3.7,5
,Petroleum Systems Total,36.8,37.1,47.3
,+ Does not exceed 0.05 MMT CO2.,,,
,NE (Not Estimated),,,
