Table 3-46:  Recalculations of CH4 in Petroleum Systems (MMT CO2 Eq.),,,,
,Segment/Source,"Previous Estimate Year 2018,","Current Estimate Year 2018,",Current Estimate
,,2020 Inventory,2021 Inventory,"Year 2019,"
,,,,2021 Inventory
,Exploration,0.4,0.4,0.3
,HF Oil Well Completions,0.3,0.4,0.2
,Production ,34.9,35.9,37.7
,Produced Water,NE,2.1,2.1
,Pneumatic Controllers,18.4,17.3,17.5
,Associated Gas Flaring,1.3,1.7,2
,Miscellaneous Flaring,0.4,0.3,0.6
,Chemical InjectionPumps,2,1.9,1.9
,Oil Wellheads (Leaks),1.5,1.4,1.4
,Gas Engines,2.3,2.4,2.4
,Transportation,0.2,0.2,0.2
,Refining,0.8,0.8,0.9
,Petroleum Systems Total,36.2,39.4,41.2
,NE (Not Estimated),,,
