Table 3-5:  CO2 Emissions from Fossil Fuel Combustion by Fuel Type and Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel/Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Coal,"1,719.80","1,715.80","1,733.00","1,798.30","1,805.00","1,820.40","1,905.30","1,950.50","1,979.40","1,979.40","2,065.10","2,009.80","2,018.70","2,061.50","2,076.30","2,113.70","2,078.50","2,107.80","2,075.50","1,837.50","1,931.40","1,817.60","1,597.50","1,657.60","1,655.70","1,428.50","1,310.70","1,270.20","1,211.60","1,027.10"
,Residential,3,2.4,2.5,2.5,2,1.7,1.6,1.5,1.1,1.3,1.1,1.1,1.2,1.2,1.1,0.8,0.6,0.7,0,0,0,0,0,0,0,NO,NO,NO,NO,NO
,Commercial,12,11.1,11.3,11.3,11.3,11.2,11.6,12.3,8.9,9.8,8.8,9.2,8.6,7.8,9.8,9.3,6.2,6.7,7.6,6.9,6.6,5.8,4.1,3.9,3.8,3,2.3,2,1.8,1.6
,Industrial,157.8,154.6,150.3,152.6,153.5,147.2,140.1,140.2,141.8,132.5,128.5,130.2,119.1,119.4,120.4,117.8,115.6,110.8,106.1,87.1,94.2,86,78.2,79.5,79.2,70,63.2,58.7,54.4,49.5
,Transportation,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,Electric Power,"1,546.50","1,547.20","1,568.50","1,631.60","1,637.90","1,659.90","1,751.50","1,796.00","1,827.10","1,835.40","1,926.40","1,868.80","1,888.90","1,930.00","1,942.00","1,982.80","1,952.70","1,986.20","1,958.40","1,740.20","1,827.20","1,722.40","1,511.70","1,571.30","1,568.60","1,351.40","1,242.00","1,207.10","1,152.90",973.5
,U.S. Territories,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,1,3.1,2.9,3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2.8,4,4.1,3.2,2.5,2.5,2.5
,Natural Gas,"1,000.00","1,022.30","1,055.80","1,083.20","1,108.00","1,156.40","1,177.70","1,183.80","1,160.20","1,164.30","1,219.80","1,170.40","1,209.00","1,177.80","1,183.70","1,167.00","1,151.90","1,225.90","1,236.70","1,215.00","1,274.00","1,293.50","1,353.80","1,391.30","1,420.20","1,454.90","1,461.30","1,434.60","1,591.20","1,644.60"
,Residential,237.8,247.3,254.6,268.2,262.9,262.8,284,270.1,246.1,256.4,270.8,259.2,265.1,276.2,264.2,262.2,237.3,256.4,265.7,259.1,258.9,255.1,225.1,266.4,277.7,252.7,238.4,241.5,273.8,275.3
,Commercial,142,148.1,152.1,154.9,157,164.2,171.1,174.3,163.3,165.2,172.5,164.2,170.5,172.9,169.8,162.9,153.8,163.6,171.2,169.1,168,170.7,157,179.2,189.2,175.4,170.5,173.2,192.5,192.8
,Industrial,408.8,415,430.8,438.3,439.6,462.8,478.6,479.3,467.7,447,459.4,421.5,429.1,416,419.8,388.6,388.3,397.8,399.4,375,407.9,417.9,434.9,451.4,467,459.1,463.9,469.5,494,503.3
,Transportation,36,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.3,35.8,35.7,34.9,37.1,33.3,31.9,33.1,33.1,35.2,36.7,37.9,38.2,38.9,41.4,47,40.2,39.4,40.1,42.3,50.9,54.8
,Electric Power,175.4,179,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306,278.1,296.8,318.9,338,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545,505.6,577.4,616
,U.S. Territories,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,1.2,1.2,1.4,1.3,1.3,1.4,1.4,1.6,1.5,1.5,1.4,2.6,3.1,3.2,3,3.4,2.5,2.5,2.5
