Table 3-53:  Miscellaneous Production Flaring National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,"220 - Gulf Coast Basin (LA, TX)",0,0,0,55,100,139,183,222,255,264,305,335,351,379,393,410,428,444,466,465,553,906,"1,666","2,595","3,596","4,021","1,979","2,179","1,951","2,554"
,395 - Williston Basin,0,0,0,9,17,27,38,52,62,67,77,86,96,108,136,182,218,245,308,375,511,693,"1,115","1,489","1,937","2,184",854,"1,618","3,045","3,904"
,430 - Permian Basin,0,0,0,82,159,237,317,396,453,482,547,600,646,701,751,807,861,918,"1,011","1,076","1,196","1,399","1,736","2,071","2,584","3,103","2,812","5,055","4,449","14,151"
,Other Basins,0,0,0,167,322,461,590,717,808,849,935,"1,017","1,118","1,205","1,263","1,316","1,352","1,453","1,551","1,595","1,672","1,797","1,990","2,252","2,589","2,806","1,455","1,960","1,891","1,847"
,Total Emissions,0,0,0,313,599,863,"1,129","1,386","1,579","1,663","1,864","2,038","2,211","2,393","2,543","2,715","2,859","3,060","3,336","3,511","3,933","4,795","6,508","8,407","10,705","12,114","7,101","10,812","11,336","22,457"
,"220 - Gulf Coast Basin (LA, TX)",0,0,0,57,103,142,188,227,260,272,310,338,354,385,405,424,451,475,494,488,574,913,"1,661","2,589","3,572","3,985","1,979","2,164","2,370",NA
,395 - Williston Basin,0,0,0,10,18,28,40,54,65,70,80,90,100,113,142,191,228,257,324,393,537,728,"1,169","1,562","2,033","2,293",888,"1,603","2,947",NA
,430 - Permian Basin,0,0,0,82,159,236,316,395,453,482,545,599,645,700,749,805,858,914,"1,007","1,073","1,190","1,384","1,707","2,041","2,575","3,091","2,794","5,024","8,406",NA
,Other Basins,0,0,0,183,353,504,646,785,886,929,"1,025","1,116","1,227","1,321","1,383","1,440","1,475","1,583","1,692","1,737","1,824","1,967","2,184","2,460","2,816","3,074","1,452","2,018","1,812",NA
,Previous Total Estimate,0,0,0,331,632,911,"1,190","1,461","1,663","1,753","1,961","2,142","2,326","2,519","2,678","2,859","3,013","3,229","3,516","3,691","4,124","4,991","6,722","8,653","10,996","12,443","7,113","10,810","15,536",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
