Table 3-54:  Miscellaneous Production Flaring National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,"220 - Gulf Coast Basin (LA, TX)",0,0,0,14,25,35,46,55,64,66,76,84,88,95,98,102,107,111,116,116,138,226,416,648,898,"1,004",497,526,577,625
,395 - Williston Basin,0,0,0,4,7,11,15,21,25,27,31,34,38,43,54,73,87,98,123,150,204,277,446,595,774,873,304,537,"1,706","2,934"
,430 - Permian Basin,0,0,0,22,42,63,85,106,121,129,146,160,173,187,200,215,230,245,270,287,319,374,463,553,690,828,799,"1,433","1,244","3,701"
,Other Basins,0,0,0,52,100,143,183,222,251,263,290,315,347,373,392,408,419,450,481,495,518,557,617,698,803,870,593,568,640,689
,Total Emissions,0,0,0,91,174,251,329,404,460,485,543,593,645,698,745,799,843,904,990,"1,048","1,180","1,434","1,942","2,494","3,164","3,575","2,192","3,063","4,167","7,949"
,"220 - Gulf Coast Basin (LA, TX)",0,0,0,14,26,36,47,57,65,68,78,84,88,96,101,106,113,119,123,122,144,228,415,647,893,997,497,526,687,NA
,395 - Williston Basin,0,0,0,4,7,11,15,21,25,27,31,35,39,43,55,73,88,99,124,151,207,280,450,601,782,882,315,531,"1,653",NA
,430 - Permian Basin,0,0,0,22,42,63,84,105,121,129,146,160,172,187,200,215,229,244,269,286,318,369,456,545,687,825,794,"1,424","1,183",NA
,Other Basins,0,0,0,52,100,143,183,222,250,263,290,316,347,374,391,407,417,448,479,491,516,556,618,696,796,870,592,585,703,NA
,Previous Total Estimate,0,0,0,91,175,252,330,405,461,486,544,595,646,700,747,801,847,909,995,"1,051","1,184","1,434","1,939","2,489","3,159","3,573","2,198","3,066","4,226",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
