Table 3-63:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Explorationb,,4.170101184,3.959675542,2.959990653,3.801198965,3.732257482,3.441317718,4.55669456,5.858508798,5.047289148,4.458178143,5.679868273,7.058579456,6.172013345,7.511183222,8.472234309,10.29911424,10.80319864,10.66342154,10.9151897,6.041150768,5.724738519,5.673977352,2.426929901,2.839860086,0.91275345,1.047222896,0.693940954,1.213917934,0.824921124,0.524516014
,Production,,58.76044248,62.42064859,62.40705453,66.62330289,68.98352817,66.84542189,69.23455176,71.57867853,72.04567583,70.30981321,72.14476569,76.66746502,77.28779122,79.29023564,80.91631146,80.68235802,87.17136273,89.46406722,94.00094698,93.21908809,91.1106946,91.54064898,92.20582974,92.43058453,89.65908525,89.30364712,86.64383636,89.35062114,90.7689814,93.69709561
,Onshore Production,,36.03139672,38.88135132,38.41359931,41.81771107,43.34234568,40.89724687,42.76114822,44.78810096,45.44530413,44.39861326,45.24649648,49.44106953,49.99857528,51.79291288,52.82400747,54.93066337,58.18932855,59.6114135,62.56470846,61.7019245,60.63082819,59.15714073,58.40294663,58.17987913,54.02413974,52.13634196,49.51882211,50.65880897,51.6984723,52.01953357
,Gathering and Boostingc,,18.47665827,19.17866864,19.61349761,20.27380928,20.9207961,21.15044893,21.68145076,21.78408011,21.75619286,21.37838822,22.13035386,22.46239973,22.5052456,22.93938204,23.60618888,23.92500907,24.45350194,25.80354855,27.59500966,27.99170314,28.87030379,31.00401781,32.51869798,33.21845519,34.85779382,36.57554205,36.32471096,38.03195034,38.29109761,40.90155668
,Offshore Production,,4.252387489,4.360628633,4.379957609,4.531782539,4.720386392,4.797726096,4.791952783,5.006497465,4.844178836,4.532811732,4.76791535,4.763995762,4.783970344,4.557940723,4.48611511,1.82668558,4.528532235,4.049105162,3.841228859,3.525460444,1.609562621,1.379490442,1.28418513,1.0322502,0.777151694,0.591763114,0.800303288,0.659861832,0.779411483,0.776005357
,Processing,,21.33111304,21.06961238,21.20510766,20.55499159,20.05103127,18.22535716,16.4126007,15.79836457,13.96804123,14.16261067,13.87631729,13.14655682,13.22076073,12.4856499,12.0668763,11.56896747,11.2965533,10.97932299,10.65815628,10.31523758,10.03833278,10.00110736,10.00110736,10.72726037,11.00781948,11.00781948,11.18951205,11.50422417,12.06563974,12.43708058
,Transmission and Storage,,57.19293032,57.9144876,58.00051696,56.63648247,55.38312242,53.87399262,52.21981555,50.4806736,48.07751424,46.14985746,44.63716123,42.00674743,40.55133399,38.93425678,37.50322788,36.06916938,34.1491283,33.69245783,31.88818037,31.00966367,30.28693171,29.27058592,29.17602845,30.94434688,32.33547777,34.13803529,34.48454276,32.43788946,34.75153442,36.95836139
,Distribution,,45.48551305,44.87370015,43.77505445,43.32570871,43.65751631,40.493346,38.31373522,37.34109786,36.17569977,34.14772115,32.70642476,31.44935974,29.98739425,27.83658314,26.79777661,25.5649207,24.28990865,20.45617017,19.43824091,17.81740083,16.12376705,14.87946729,14.7839065,14.64161973,14.49080032,14.3432152,14.33011374,14.21857878,14.11946316,13.99700775
,Total,,186.9401001,190.2381243,188.3477243,190.9416846,191.8074556,182.8794354,180.7373978,181.0573234,175.3142202,169.2281806,169.0445372,170.3287085,167.2192935,166.0579087,165.7564266,164.1845298,167.7101516,165.2554397,166.9007142,158.4025409,153.2844647,151.3657869,148.593802,151.5836716,148.4059363,149.83994,147.3419459,148.7252315,152.5305398,157.6140613
,,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"a These values represent CH4 emitted to the atmosphere. CH4 that is captured, flared, or otherwise controlled (and not emitted to the atmosphere) has been calculated and removed from emission totals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"b Exploration includes well drilling, testing, and completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"c Gathering and boosting includes gathering and boosting station routine vented and leak sources, gathering pipeline leaks and blowdowns, and gathering and boosting station episodic events. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
