Table 3-64: CH4 Emissions from Natural Gas Systems (kt) a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Exploration b,167,158,118,152,149,138,182,234,202,178,227,282,247,300,339,412,432,427,437,242,229,227,97,114,37,42,28,49,33,21
,Production,"2,350","2,497","2,496","2,665","2,759","2,674","2,769","2,863","2,882","2,812","2,886","3,067","3,092","3,172","3,237","3,227","3,487","3,579","3,760","3,729","3,644","3,662","3,688","3,697","3,586","3,572","3,466","3,574","3,631","3,748"
,Onshore Production,"1,441","1,555","1,537","1,673","1,734","1,636","1,710","1,792","1,818","1,776","1,810","1,978","2,000","2,072","2,113","2,197","2,328","2,384","2,503","2,468","2,425","2,366","2,336","2,327","2,161","2,085","1,981","2,026","2,068","2,325"
,Gathering and Boosting c,739,767,785,811,837,846,867,871,870,855,885,898,900,918,944,957,978,"1,032","1,104","1,120","1,155","1,240","1,301","1,329","1,394","1,463","1,453","1,521","1,532","1,636"
,Offshore Production ,170,174,175,181,189,192,192,200,194,181,191,191,191,182,179,73,181,162,154,141,64,55,51,41,31,24,32,26,31,31
,Processing,853,843,848,822,802,729,657,632,559,567,555,526,529,499,483,463,452,439,426,413,402,400,400,429,440,440,448,460,483,497
,Transmission and Storage,"2,288","2,317","2,320","2,265","2,215","2,155","2,089","2,019","1,923","1,846","1,785","1,680","1,622","1,557","1,500","1,443","1,366","1,348","1,276","1,240","1,211","1,171","1,167","1,238","1,293","1,366","1,379","1,298","1,390","1,478"
,Distribution,"1,819","1,795","1,751","1,733","1,746","1,620","1,533","1,494","1,447","1,366","1,308","1,258","1,199","1,113","1,072","1,023",972,818,778,713,645,595,591,586,580,574,573,569,565,560
,Total,"7,478","7,610","7,534","7,638","7,672","7,315","7,229","7,242","7,013","6,769","6,762","6,813","6,689","6,642","6,630","6,567","6,708","6,610","6,676","6,336","6,131","6,055","5,944","6,063","5,936","5,994","5,894","5,949","6,101","6,305"
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a These values represent CH4 emitted to the atmosphere. CH4 that is captured, flared, or otherwise controlled (and not emitted to the atmosphere) has been calculated and removed from emission totals. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Exploration includes well drilling, testing, and completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c Gathering and boosting includes gathering and boosting station routine vented and leak sources, gathering pipeline leaks and blowdowns, and gathering and boosting station episodic events.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
