Table 3-66:  Non-combustion CO2 Emissions from Natural Gas Systems (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Exploration,421,400,296,382,375,345,459,594,510,448,574,785,749,"1,001","1,237","1,651","1,893","2,043","2,288","1,357","1,406","1,840","1,273","1,212",789,282,193,445,355,236
,Production,"3,048","3,162","3,204","3,363","3,523","3,576","3,753","3,843","3,899","3,880","4,007","4,151","4,198","4,279","4,409","4,486","4,645","4,890","5,295","5,356","5,709","6,527","6,421","6,820","7,315","7,623","7,482","7,261","9,841","10,951"
,Processing,"28,338","27,334","27,260","26,815","26,557","24,520","22,441","21,965","19,760","20,397","20,359","19,663","20,174","19,452","19,210","18,836","18,828","18,752","18,674","18,562","18,577","19,059","19,059","20,442","20,977","20,977","22,022","22,980","23,126","24,786"
,Transmission and Storage,181,183,183,180,178,176,173,171,169,167,165,170,168,173,171,176,175,173,194,200,213,219,223,223,229,228,339,498,546,"1,244"
,Distribution,54,53,52,51,51,48,45,44,43,40,39,37,35,33,32,30,29,24,23,21,19,18,17,17,17,17,17,17,17,16
,Total,"32,042","31,131","30,994","30,792","30,685","28,664","26,872","26,618","24,380","24,932","25,143","24,806","25,324","24,938","25,059","25,179","25,569","25,881","26,475","25,496","25,924","27,662","26,994","28,715","29,326","29,127","30,054","31,200","33,885","37,234"
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
