Table 3-7:  CO2 Emissions from Stationary Fossil Fuel Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Electric Power,"1,820.00","1,817.40","1,830.70","1,906.20","1,930.50","1,947.20","2,020.20","2,087.50","2,176.60","2,189.70","2,296.20","2,257.20","2,272.20","2,303.70","2,335.10","2,400.10","2,344.40","2,411.10","2,359.30","2,145.30","2,258.60","2,158.10","2,023.30","2,038.30","2,037.20","1,900.60","1,808.90","1,732.00","1,752.90","1,606.00"
,Coal,"1,546.50","1,547.20","1,568.50","1,631.60","1,637.90","1,659.90","1,751.50","1,796.00","1,827.10","1,835.40","1,926.40","1,868.80","1,888.90","1,930.00","1,942.00","1,982.80","1,952.70","1,986.20","1,958.40","1,740.20","1,827.20","1,722.40","1,511.70","1,571.30","1,568.60","1,351.40","1,242.00","1,207.10","1,152.90",973.5
,Natural Gas,175.4,179,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306,278.1,296.8,318.9,338,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545,505.6,577.4,616
,Fuel Oil,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.5,98.6,76.9,95.1,95.8,98,53.3,53,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.5,18.9,22.2,16.2
,Geothermal,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Industrial,853.8,839.1,866.4,865.3,872.9,889.9,922.9,917.8,890.8,843.2,869.5,866.8,853.3,853.2,877.1,852.9,875.7,867.4,820.5,744.2,796.8,796.8,806.7,834.3,814.5,797.3,792.5,790.1,813.6,822.5
,Coal,157.8,154.6,150.3,152.6,153.5,147.2,140.1,140.2,141.8,132.5,128.5,130.2,119.1,119.4,120.4,117.8,115.6,110.8,106.1,87.1,94.2,86,78.2,79.5,79.2,70,63.2,58.7,54.4,49.5
,Natural Gas,408.8,415,430.8,438.3,439.6,462.8,478.6,479.3,467.7,447,459.4,421.5,429.1,416,419.8,388.6,388.3,397.8,399.4,375,407.9,417.9,434.9,451.4,467,459.1,463.9,469.5,494,503.3
,Fuel Oil,287.2,269.5,285.4,274.4,279.8,279.9,304.2,298.3,281.3,263.7,281.7,315.1,305.1,317.8,336.8,346.4,371.9,358.8,314.9,282.2,294.7,293,293.6,303.4,268.2,268.2,265.4,261.9,265.2,269.7
,Commercial,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.6,232,245.7,249.7
