Table 3-70:  Recalculations of CO2 in Natural Gas Systems (MMT CO2),,,,
,,,,
,Segment and Emission Source,"Previous Estimate Year 2018, ",Current Estimate,Current Estimate 
,,2020 Inventory,"Year 2018, ","Year 2019, "
,,,2021 Inventory,2021 Inventory
,Exploration,0.4,0.4,0.2
,HF Gas Well Completions,0.4,0.3,0.2
,Production,9.6,9.8,11
,Gathering Stations Flares Stacks,4.2,4.4,5
,Processing,24.5,23.1,24.8
,AGR Vents,17.5,16.7,16.5
,Flares,7,6.4,8.3
,Transmission and Storage,0.5,0.5,1.2
,LNG Export Terminals,0.3,0.3,1
,Distribution,+,+,+
,Customer Meters,+,+,+
,Total,35,33.9,37.2
,+ Does not exceed 0.05 MMT CO2.,,,
