Table 3-71:  Recalculations of CH4 in Natural Gas Systems (MMT CO2 Eq.),,,,
,,,,
,Segment and Emission Source,"Previous Estimate Year 2018, ",Current Estimate Year 2018 ,Current Estimate Year 2019
,,2020 Inventory,2021 Inventory,2021 Inventory 
,Exploration,1.1,0.8,0.5
,HF Gas Well Completions,1,0.8,0.5
,Non-HF Gas Well Completions,0.1,+,+
,Production,80.9,90.8,93.7
,Produced Water (Onshore Production),1.5,4.7,4.7
,G&B Station Sources,31.4,35,37.3
,Pneumatic Controllers (Onshore Production),25.4,26.9,28.2
,Liquids Unloading,4.4,5.1,4.4
,HF Workovers,0.6,0.5,0.4
,Chemical Injection Pumps,2.7,2.9,2.8
,Kimray Pumps,1.8,1.9,1.8
,Gas Engines,6.2,6.4,6.3
,Compressors,1.6,1.7,1.7
,Processing,12.2,12.1,12.4
,Reciprocating Compressors,1.6,1.5,1.2
,Transmission and Storage,33.9,34.8,37
,Reciprocating Compressors (Transmission),9.2,9.3,10.2
,Pneumatic Controllers (Storage),+,0.6,0.6
,Distribution,11.8,14.1,14
,Customer Meters,1.4,3.7,3.7
,Total,140,152.5,157.6
,+ Does not exceed 0.05 MMT CO2 Eq.,,,
