Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Electric Power,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,1,1.1,1,1.1,1.2,1.2,1.1,1.2,1.3
,Coal,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
,Fuel Oil,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ ,+ 
,Natural gas,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.7,0.8,0.9,0.9,0.9,1,1.1
,Wood,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ ,+ 
,Industrial,1.8,1.8,1.8,1.8,1.9,2,2,2,1.9,1.9,1.9,1.8,1.7,1.7,1.8,1.7,1.8,1.7,1.6,1.4,1.6,1.6,1.6,1.7,1.6,1.6,1.6,1.5,1.5,1.5
,Coal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
,Fuel Oil,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Natural gas,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Wood,1,1,1,1.1,1.1,1.2,1.2,1.2,1.1,1.2,1.2,1,1,1,1.1,1,1,1,1,0.8,1,1,1,1.1,1.1,1.1,1,1,1,1
