Table 3-99:  CO2 Emissions from Abandoned Oil and Gas Wells (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abandoned Oil Wells,5,4.719,4.747,4.769,4.79,4.805,4.816,4.822,4.829,4.838,4.832,4.869,4.864,4.858,4.848,5,4.826,4.813,4.801,4.793,4.78,4.772,4.767,4.764,4.766,5,5,5,5,4
Abandoned Gas Wells,2,1.764,1.796,1.823,1.851,1.875,1.896,1.921,1.946,1.969,1.991,2.032,2.058,2.083,2.109,2,2.171,2.218,2.262,2.312,2.368,2.41,2.454,2.507,2.542,3,3,3,3,2
Total,6,6.483,6.543,6.592,6.64,6.679,6.712,6.743,6.774,6.807,6.823,6.901,6.922,6.941,6.957,7,6.997,7.031,7.064,7.105,7.148,7.183,7.221,7.271,7.308,7,7,7,7,7
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
