Table 4-105:  SF6 Emissions from Electric Power Systems and Electrical Equipment Manufacturers (MMT CO2 Eq.),,,,
,,,,
,Year,Electric Power Systems,Electrical Equipment Manufacturers,Total
,1990,22.8,0.3,23.2
,1991,21.9,0.3,22.2
,1992,21.7,0.4,22.1
,1993,21.0,0.4,21.4
,1994,19.8,0.4,20.2
,1995,18.1,0.5,18.6
,1996,16.6,0.4,17.0
,1997,15.3,0.3,15.6
,1998,12.9,0.3,13.3
,1999,13.0,0.6,13.6
,2000,12.0,0.7,12.7
,2001,11.4,0.6,12.0
,2002,10.1,0.8,10.8
,2003,9.3,0.6,9.9
,2004,8.6,0.6,9.1
,2005,7.7,0.7,8.4
,2006,6.4,0.6,7.0
,2007,5.7,0.5,6.3
,2008,5.3,0.8,6.1
,2009,5.5,0.4,5.9
,2010,5.1,0.5,5.7
,2011,5.2,0.7,5.8
,2012,4.5,0.3,4.8
,2013,4.2,0.4,4.6
,2014,4.5,0.4,4.9
,2015,3.5,0.3,3.8
,2016,3.8,0.3,4.1
,2017,3.8,0.3,4.2
,2018,3.6,0.3,3.9
,2019,3.9,0.3,4.2
,Note: Totals may not sum due to independent rounding.,,,
