Table 4-11:  CO2 Emissions from Glass Production (MMT CO2 Eq. and kt),,,
,,,
,Year,MMT CO2 Eq.,kt 
,1990,1.5,1535
,1991,1.4,1439
,1992,1.5,1540
,1993,1.6,1626
,1994,1.7,1735
,1995,1.8,1823
,1996,1.7,1677
,1997,1.6,1618
,1998,1.5,1543
,1999,1.4,1357
,2000,1.7,1686
,2001,1.4,1386
,2002,1.7,1741
,2003,1.6,1623
,2004,1.6,1642
,2005,1.9,1928
,2006,2.1,2050
,2007,1.5,1536
,2008,1.5,1523
,2009,1.0,1045
,2010,1.5,1481
,2011,1.3,1299
,2012,1.2,1248
,2013,1.3,1317
,2014,1.3,1336
,2015,1.3,1299
,2016,1.2,1249
,2017,1.3,1296
,2018,1.3,1305
,2019,1.3,1280
,Note: Totals may not sum due to independent rounding. ,,
