"Table 4-112:  NOx, CO, and NMVOC Emissions from Industrial Processes and Product Use (kt) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NOx,592,551,564,565,596,610,600,631,640,598,629,659,539,551,562,572,554,535,514,493,472,452,440,427,414,408,402,397,397,397
Industrial Processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Industrial Processes(a),343,319,327,336,353,362,393,418,423,409,434,457,390,407,423,437,418,399,377,358,339,320,313,307,300,297,294,291,291,291
Metals Processing,88,69,73,75,83,89,76,81,81,78,81,86,63,62,61,60,64,68,72,69,67,64,64,64,63,62,61,60,60,60
Chemical and Allied Product Manufacturing,152,150,148,141,145,143,113,115,117,93,95,97,63,61,58,55,53,51,50,49,48,47,45,44,43,41,39,37,37,37
Storage and Transport,3,5,5,5,5,5,14,14,15,13,14,15,17,16,16,15,13,11,9,12,15,18,14,10,5,5,5,5,5,5
Miscellaneous(b),5,5,8,6,8,8,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3
Product Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Coating,1,1,2,2,2,2,2,2,2,3,3,3,5,4,4,3,3,4,4,3,2,1,1,1,1,1,1,1,1,1
Graphic Arts,+,+,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Degreasing,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry Cleaning,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Industrial Processes (a),+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Industrial Processes (c),+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other  ,NA,NA,NA,NA,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,"4,129","3,980","3,887","3,987","3,979","3,965","3,018","3,154","3,164","2,203","2,262","2,384","1,745","1,687","1,630","1,557","1,499","1,441","1,382","1,331","1,280","1,229","1,238","1,247","1,251","1,163","1,075","1,006","1,006","1,006"
Industrial Processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metals Processing,"2,395","2,332","2,264","2,301","2,245","2,159","1,450","1,551","1,544","1,138","1,175","1,252",895,848,800,752,756,759,762,740,717,695,648,600,553,510,468,425,425,425
Other Industrial Processes (a),487,497,494,539,544,566,509,528,535,518,538,558,444,458,472,484,452,420,387,360,333,306,381,455,530,488,447,406,406,406
Chemical and Allied Product Manufacturing,"1,073","1,022","1,009",992,"1,062","1,110",955,972,981,317,327,338,258,235,212,189,181,174,166,161,157,152,140,129,117,114,110,107,107,107
Miscellaneous (b),101,98,100,105,101,102,39,38,38,35,23,30,39,41,43,32,36,41,45,47,48,51,49,48,42,42,42,61,61,61
Storage and Transport,69,25,15,46,22,23,63,65,65,148,154,162,107,104,101,97,70,43,16,19,22,25,19,13,7,7,7,7,7,7
Product Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
