Table 4-14:  CO2 Emissions from Other Process Uses of Carbonates (MMT CO2 Eq.),,,,,,,
,,,,,,,
,Year,Flux Stone,FGD,Magnesium Production,Soda Ash Consumption(a),Other Miscellaneous Uses(b),Total
,1990,2.6,1.4,0.1,0.8,1.4,6.3
,1991,2.2,1.3,0.1,0.7,1.4,5.7
,1992,1.9,1.4,0.1,1.0,1.3,5.6
,1993,1.2,1.5,0.1,1.2,1.3,5.2
,1994,1.7,1.7,0.1,0.9,1.3,5.6
,1995,3.2,1.7,0.1,1.2,1.4,7.6
,1996,3.6,2.0,0.1,1.1,1.4,8.2
,1997,4.5,1.4,0.1,0.4,1.4,7.8
,1998,4.5,1.2,0.1,0.9,1.4,8.1
,1999,5.6,1.2,0.1,0.7,1.3,8.9
,2000,2.1,1.8,0.1,0.7,1.3,6.0
,2001,1.6,2.5,0.1,0.5,1.4,6.0
,2002,1.7,2.8,0.0,0.7,1.4,6.5
,2003,1.4,1.9,0.0,0.4,1.3,5.1
,2004,3.4,1.9,0.0,0.4,1.3,6.9
,2005,2.6,3.0,0.0,0.7,1.3,7.6
,2006,4.5,2.1,0.0,0.7,1.3,8.6
,2007,2.0,3.2,0.0,2.2,1.3,8.6
,2008,1.0,3.8,0.0,1.1,1.2,7.1
,2009,1.8,5.4,0.0,0.4,1.1,8.7
,2010,1.6,7.1,0.0,0.9,1.1,10.7
,2011,1.5,5.4,0.0,2.4,1.1,10.4
,2012,1.1,5.8,0.0,1.1,1.1,9.1
,2013,2.3,6.3,0.0,1.8,1.1,11.5
,2014,2.9,7.1,0.0,1.8,1.1,13.0
,2015,2.9,7.3,0.0,0.9,1.1,12.2
,2016,2.6,6.2,0.0,1.1,1.1,11.0
,2017,2.4,5.6,0.0,0.8,1.1,9.9
,2018,2.8,2.2,0.0,1.4,1.1,7.5
,2019,2.8,2.2,0.0,1.4,1.0,7.5
,Note: Totals may not sum due to independent rounding. ,,,,,,
,(a) Soda ash consumption not associated with glass manufacturing.,,,,,,
,"(b) “Other miscellaneous uses” include chemical stone, mine dusting or acid water treatment, acid neutralization, and sugar refining. ",,,,,,
