Table 4-15:  CO2 Emissions from Other Process Uses of Carbonates (kt),,,,,,,
,,,,,,,
,Year,Flux Stone,FGD,Magnesium Production,Soda Ash Consumption(a),Other Miscellaneous Uses(b),Total
,1990,2592,1432,64,1390,819,6297
,1991,2227,1287,64,1362,735,5675
,1992,1913,1368,64,1318,956,5619
,1993,1168,1472,64,1324,1205,5234
,1994,1734,1689,70,1290,854,5636
,1995,3196,1718,73,1396,1167,7552
,1996,3620,1988,73,1392,1101,8174
,1997,4473,1425,73,1392,402,7765
,1998,4539,1232,73,1384,857,8085
,1999,5551,1239,73,1310,713,8887
,2000,2090,1785,73,1337,721,6007
,2001,1589,2523,53,1373,495,6033
,2002,1697,2783,0,1352,657,6489
,2003,1426,1933,0,1315,379,5054
,2004,3371,1860,0,1302,367,6900
,2005,2649,2973,0,1305,718,7644
,2006,4490,2059,0,1276,735,8560
,2007,1958,3177,0,1262,2230,8626
,2008,974,3799,0,1227,1113,7112
,2009,1784,5403,0,1098,396,8681
,2010,1560,7064,0,1148,937,10709
,2011,1467,5420,0,1105,2449,10440
,2012,1077,5797,0,1097,1148,9119
,2013,2307,6309,0,1109,1798,11524
,2014,2911,7111,0,1143,1790,12954
,2015,2901,7335,0,1075,871,12182
,2016,2585,6164,0,1082,1140,10972
,2017,2441,5598,0,1058,835,9933
,2018,2800,2233,0,1069,1367,7469
,2019,2821,2233,0,1036,1367,7457
,Note: Totals may not sum due to independent rounding ,,,,,,
,(a) Soda ash consumption not associated with glass manufacturing.,,,,,,
,"(b) “Other miscellaneous uses” include chemical stone, mine dusting or acid water treatment, acid neutralization, and sugar refining.",,,,,,
