"Table 4-21:  Ammonia Production, Recovered CO2 Consumed for Urea Production, and Urea Production (kt)",,,,
,Year,Ammonia Production,Total CO2 Consumption for Urea Production,Urea Production
,1990,15425,5463,7450
,1991,15576,5412,7380
,1992,16261,5830,7950
,1993,15599,5515,7520
,1994,16211,5302,7230
,1995,15788,5405,7370
,1996,16260,5676,7740
,1997,16231,5449,7430
,1998,16761,5969,8140
,1999,15728,5925,8080
,2000,14342,5067,6910
,2001,11092,4547,6200
,2002,12577,5163,7040
,2003,10279,4239,5780
,2004,10939,4224,5760
,2005,10143,3865,5270
,2006,9962,3967,5410
,2007,10393,4099,5590
,2008,9570,3843,5240
,2009,9372,3728,5084
,2010,10084,3756,5122
,2011,10325,5045,6879
,2012,10305,4255,5803
,2013,10930,4501,6137
,2014,10515,4078,5561
,2015,11765,"4,312",5880
,2016,12305,"5,419",7390
,2017,14070,"6,622",9030
,2018,16010,"7,847",10700
,2019,"16,410","8,360",11400
