"Table 4-25:  Urea Production, Urea Applied as Fertilizer, Urea Imports, and Urea Exports (kt)",,,,,,
,,,,,,
,Year,Urea Production,Urea Applied as Fertilizer,Urea Imports,Urea Exports,Urea Consumed for Non-Agricultural Purposes
,1990,7450,3296,1860,854,5160
,1991,7380,3154,1619,1071,4774
,1992,7950,3338,1569,913,5267
,1993,7520,3595,2964,659,6230
,1994,7230,3659,3160,912,5820
,1995,7370,3623,2936,881,5802
,1996,7740,3528,2521,1471,5263
,1997,7430,3670,2533,933,5361
,1998,8140,4018,3324,841,6605
,1999,8080,4113,3264,890,6341
,2000,6910,4382,3904,663,5769
,2001,6200,4655,4800,792,5553
,2002,7040,4871,3840,963,5045
,2003,5780,5025,4973,876,4851
,2004,5760,4982,4935,704,5009
,2005,5270,4779,5026,536,4981
,2006,5410,4985,5029,656,4799
,2007,5590,5124,6546,271,6741
,2008,5240,4927,5459,230,5543
,2009,5084,4848,4727,289,4673
,2010,5122,5152,6631,152,6450
,2011,6879,5587,5860,207,6945
,2012,5803,5838,6944,336,6572
,2013,6137,6059,6470,335,6213
,2014,5561,6156,3510,451,2463
,2015,5880,6447,7190,380,6243
,2016,7390,6651,6580,321,6998
,2017,9030,6888,5510,795,6857
,2018,10700,7080,5110,743,7987
,2019,11400,7283,5110,743,8484
