Table 4-27:  N2O Emissions from Nitric Acid Production (MMT CO2 Eq. and kt N2O),,,
,,,
,Year,MMT CO2 Eq.,kt N2O
,1990,12.1,41
,1991,12.1,41
,1992,12.4,42
,1993,12.6,42
,1994,13.3,45
,1995,13.5,45
,1996,14.1,47
,1997,14.4,48
,1998,14.2,48
,1999,13.7,46
,2000,13.3,45
,2001,10.8,36
,2002,11.7,39
,2003,11.0,37
,2004,10.9,37
,2005,11.3,38
,2006,11.1,37
,2007,13.2,44
,2008,11.3,38
,2009,9.6,32
,2010,11.5,39
,2011,10.9,37
,2012,10.5,35
,2013,10.7,36
,2014,10.9,37
,2015,11.6,39
,2016,10.1,34
,2017,9.3,31
,2018,9.6,32
,2019,10.0,34
