Table 4-3:  CO2 Emissions from Cement Production (MMT CO2 Eq. and kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,33.5,33484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,32.7,32736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,33.0,32993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,34.8,34838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,36.3,36310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,37.1,37075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,37.3,37309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,38.6,38561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,39.5,39461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,40.2,40239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,41.4,41445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,41.6,41613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,43.2,43164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,43.3,43349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,45.9,45886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,46.2,46194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,46.9,46851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,45.5,45509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,41.4,41416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,29.6,29615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,31.4,31449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,32.2,32208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,35.3,35270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,36.4,36369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,39.4,39439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,39.9,39907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,39.4,39439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,40.3,40324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,39.0,38971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,40.9,40896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
