Table 4-30:  N2O Emissions from Adipic Acid Production (MMT CO2 Eq. and kt N2O),,,
,,,
,Year,MMT CO2 Eq.,kt N2O
,1990,15.2,51
,1991,14.9,50
,1992,13.0,44
,1993,13.9,47
,1994,13.5,45
,1995,16.9,57
,1996,16.7,56
,1997,9.4,32
,1998,5.1,17
,1999,4.7,16
,2000,5.3,18
,2001,4.5,15
,2002,4.9,17
,2003,5.5,18
,2004,3.7,12
,2005,7.1,24
,2006,8.6,29
,2007,10.3,34
,2008,2.5,8
,2009,2.7,9
,2010,4.2,14
,2011,10.2,34
,2012,5.5,19
,2013,3.9,13
,2014,5.4,18
,2015,4.3,14
,2016,7.0,23
,2017,7.4,25
,2018,10.3,35
,2019,5.3,18
