Table 4-4:  Clinker Production (kt),,
,,
,Year,Clinker
,1990,64355
,1991,62918
,1992,63411
,1993,66957
,1994,69787
,1995,71257
,1996,71706
,1997,74112
,1998,75842
,1999,77337
,2000,79656
,2001,79979
,2002,82959
,2003,83315
,2004,88190
,2005,88783
,2006,90045
,2007,87466
,2008,79599
,2009,56918
,2010,60444
,2011,61903
,2012,67788
,2013,69900
,2014,74372
,2015,76043
,2016,75721
,2017,76984
,2018,77112
,2019,78891
,Notes: Clinker production from 1990 through 2019 includes Puerto Rico (relevant U.S. Territories).,
