Table 4-40:  CO2 Emissions from Titanium Dioxide (MMT CO2 Eq. and kt),,,
,,,
,Year,MMT CO2 Eq.,Kt
,1990,1.2,1195
,1991,1.2,1211
,1992,1.4,1392
,1993,1.4,1416
,1994,1.5,1526
,1995,1.5,1526
,1996,1.5,1514
,1997,1.7,1677
,1998,1.7,1662
,1999,1.7,1693
,2000,1.8,1752
,2001,1.7,1697
,2002,1.8,1824
,2003,1.8,1839
,2004,2.1,2064
,2005,1.8,1755
,2006,1.8,1836
,2007,1.9,1930
,2008,1.8,1809
,2009,1.6,1648
,2010,1.8,1769
,2011,1.7,1729
,2012,1.5,1528
,2013,1.7,1715
,2014,1.7,1688
,2015,1.6,1635
,2016,1.7,1662
,2017,1.7,1688
,2018,1.5,1541
,2019,1.5,1474
