Table 4-43:  CO2 Emissions from Soda Ash Production (MMT CO2 Eq. and kt CO2),,,
,,,
,Year,MMT CO2 Eq.,kt CO2
,1990,1.4,1431
,1991,1.4,1431
,1992,1.5,1451
,1993,1.4,1412
,1994,1.4,1422
,1995,1.6,1607
,1996,1.6,1587
,1997,1.7,1665
,1998,1.6,1607
,1999,1.5,1548
,2000,1.5,1529
,2001,1.5,1500
,2002,1.5,1470
,2003,1.5,1509
,2004,1.6,1607
,2005,1.7,1655
,2006,1.6,1626
,2007,1.7,1675
,2008,1.7,1733
,2009,1.5,1470
,2010,1.5,1548
,2011,1.6,1607
,2012,1.7,1665
,2013,1.7,1694
,2014,1.7,1685
,2015,1.7,1714
,2016,1.7,1723
,2017,1.8,1753
,2018,1.7,1714
,2019,1.8,1792
