Table 4-50:  HFC-23 Emissions from HCFC-22 Production (MMT CO2 Eq. and kt HFC-23),,,
,,,
,Year,MMT CO2 Eq.,kt HFC-23
,1990,46.1,3.1
,1991,41.4,2.8
,1992,46.0,3.1
,1993,41.9,2.8
,1994,39.9,2.7
,1995,41.7,2.8
,1996,39.4,2.7
,1997,38.1,2.6
,1998,49.9,3.4
,1999,38.5,2.6
,2000,36.2,2.4
,2001,25.0,1.7
,2002,26.7,1.8
,2003,15.6,1.1
,2004,21.8,1.5
,2005,20.0,1.4
,2006,17.5,1.2
,2007,21.5,1.5
,2008,17.2,1.2
,2009,6.8,0.5
,2010,8.0,0.5
,2011,8.8,0.6
,2012,5.5,0.4
,2013,4.1,0.3
,2014,5.0,0.3
,2015,4.3,0.3
,2016,2.8,0.2
,2017,5.2,0.3
,2018,3.3,0.2
,2019,3.7,0.3
