Table 4-53:  CO2 Emissions from CO2 Consumption (MMT CO2 Eq. and kt),,,
,,,
,Year,MMT CO2 Eq.,kt
,1990,1.5,1472
,1991,1.5,1469
,1992,1.5,1463
,1993,1.5,1470
,1994,1.5,1476
,1995,1.5,1477
,1996,1.5,1486
,1997,1.5,1484
,1998,1.5,1481
,1999,1.5,1479
,2000,1.5,1478
,2001,0.9,894
,2002,1.0,1047
,2003,1.4,1365
,2004,1.3,1259
,2005,1.4,1375
,2006,1.8,1758
,2007,1.9,1922
,2008,1.8,1834
,2009,1.8,1795
,2010,4.4,4425
,2011,4.1,4083
,2012,4.0,4019
,2013,4.2,4188
,2014,4.5,4471
,2015,4.9,4940
,2016,4.6,4640
,2017,4.6,4580
,2018,4.1,4130
,2019,4.9,4870
