Table 4-54:  CO2 Production (kt CO2) and the Percent Used for Non-EOR Applications,,,,,,,
,,,,,,,
,Year,"Jackson Dome, MS ","Bravo Dome, NM ","West Bravo Dome, NM ","McCallum Dome, CO ",Total CO2 Production from Extraction and Capture Facilities (kt),% Non-EOR(a)
,,CO2 Production ,CO2 Production ,CO2 Production ,CO2 Production ,,
,,(kt) (% Non-EOR),(kt) (% Non-EOR),(kt) (% Non-EOR),(kt) (% Non-EOR),,
,1990,1344 (100%),63 (1%),+,65 (100%),NA,NA
,1991,1344 (100%),60 (1%),+,65 (100%),NA,NA
,1992,1344 (100%),54 (1%),+,65 (100%),NA,NA
,1993,1344 (100%),61 (1%),+,65 (100%),NA,NA
,1994,1344 (100%),67 (1%),+,65 (100%),NA,NA
,1995,1344 (100%),68 (1%),+,65 (100%),NA,NA
,1996,1344 (100%),77 (1%),+,65 (100%),NA,NA
,1997,1344 (100%),75 (1%),+,65 (100%),NA,NA
,1998,1344 (100%),72 (1%),+,65 (100%),NA,NA
,1999,1344 (100%),70 (1%),+,65 (100%),NA,NA
,2000,1344 (100%),68 (1%),+,66 (100%),NA,NA
,2001,758 (47%),66 (1%),+,70 (100%),NA,NA
,2002,918 (46%),64 (1%),+,65 (100%),NA,NA
,2003,1240 (38%),62 (1%),+,63 (100%),NA,NA
,2004,1130 (27%),60 (1%),+,70 (100%),NA,NA
,2005,1254 (27%),58 (1%),+,63 (100%),NA,NA
,2006,1642 (25%),56 (1%),+,61 (100%),NA,NA
,2007,1798 (19%),56 (1%),+,68 (100%),NA,NA
,2008,1712 (14%),56 (1%),+,66 (100%),NA,NA
,2009,1705 (13%),46 (1%),+,23 (100%),NA,NA
,2010,NA,NA,NA,NA,64724(b),7%
,2011,NA,NA,NA,NA,66241(b),6%
,2012,NA,NA,NA,NA,66326(b),6%
,2013,NA,NA,NA,NA,68435(b),6%
,2014,NA,NA,NA,NA,72000(b),6%
,2015,NA,NA,NA,NA,"64,800(b)",8%
,2016,NA,NA,NA,NA,"55,900(b)",8%
,2017,NA,NA,NA,NA,"59,900(b)",8%
,2018,NA,NA,NA,NA,"58,400(b)",7%
,2019,NA,NA,NA,NA,"61,300(b)",8%
,+ Does not exceed 0.5 percent.,,,,,,
,NA (Not Available),,,,,,
,(a) Includes only food & beverage applications.,,,,,,
,"(b) For 2010 through 2019, the publicly available GHGRP data were aggregated at the national level based on GHGRP CBI criteria. ",,,,,,
