Table 4-56:  CO2 Emissions from Phosphoric Acid Production (MMT CO2 Eq. and kt),,,
,,,
,Year,MMT CO2 Eq.,kt
,1990,1.5,1529
,1991,1.4,1398
,1992,1.5,1509
,1993,1.3,1304
,1994,1.5,1519
,1995,1.5,1513
,1996,1.6,1551
,1997,1.5,1544
,1998,1.6,1593
,1999,1.5,1539
,2000,1.4,1382
,2001,1.3,1264
,2002,1.3,1338
,2003,1.4,1382
,2004,1.4,1395
,2005,1.3,1342
,2006,1.2,1160
,2007,1.2,1203
,2008,1.1,1132
,2009,1.0,977
,2010,1.1,1087
,2011,1.2,1171
,2012,1.1,1118
,2013,1.1,1149
,2014,1.0,1037
,2015,1.0,999
,2016,1.0,998
,2017,1.0,1028
,2018,0.9,940
,2019,0.9,891
