Table 4-6:  CO2 Emissions from Lime Production (MMT CO2 Eq. and kt),,,
,,,
,Year,MMT CO2 Eq.,kt
,1990,11.7,11700
,1991,11.5,11539
,1992,11.9,11927
,1993,12.3,12279
,1994,12.7,12736
,1995,13.5,13538
,1996,14.2,14242
,1997,14.5,14498
,1998,14.8,14792
,1999,14.4,14425
,2000,14.3,14282
,2001,13.7,13722
,2002,13.2,13169
,2003,13.9,13907
,2004,14.6,14613
,2005,14.6,14552
,2006,15.2,15243
,2007,14.7,14721
,2008,14.5,14505
,2009,11.4,11411
,2010,13.4,13381
,2011,14.0,13982
,2012,13.8,13785
,2013,14.0,14028
,2014,14.2,14210
,2015,13.3,13342
,2016,12.6,12630
,2017,12.9,12882
,2018,13.1,13106
,2019,12.1,12112
,,,
,,,
,,,
,,,
