"Table 4-7:  Gross, Recovered, and Net CO2 Emissions from Lime Production (kt)",,,,
,,,,
,Year,Gross,Recovered(a),Net Emissions
,1990,11959,259,11700
,1991,11812,273,11539
,1992,12232,305,11927
,1993,12645,366,12279
,1994,13123,387,12736
,1995,13968,430,13538
,1996,14629,388,14242
,1997,14937,439,14498
,1998,15267,475,14792
,1999,14946,521,14425
,2000,14830,548,14282
,2001,14209,486,13722
,2002,13611,441,13169
,2003,14402,495,13907
,2004,15099,486,14613
,2005,15074,522,14552
,2006,15766,523,15243
,2007,15221,500,14721
,2008,14981,476,14505
,2009,11872,461,11411
,2010,13776,395,13381
,2011,14389,407,13982
,2012,14258,473,13785
,2013,14495,467,14028
,2014,14715,505,14210
,2015,13764,422,13342
,2016,13000,370,12630
,2017,13283,401,12882
,2018,13609,503,13106
,2019,12676,564,12112
,Note: Totals may not sum due to independent rounding.,,,
,(a) For sugar refining and PCC production.,,,
