Table 4-77:  Production of Ferroalloys (Metric Tons),,,,
,,,,
Year,Ferrosilicon 25%-55%,Ferrosilicon 56%-95%,Silicon Metal,Misc. Alloys 32-65%
1990,321385,109566,145744,72442
1991,230019,101549,149570,80082
1992,238562,79976,164326,87721
1993,199275,94437,158000,95361
1994,198000,112000,164000,103000
1995,184000,128000,163000,99500
1996,182000,132000,175000,110000
1997,175000,147000,187000,106000
1998,162000,147000,195000,99800
1999,252000,145000,195000,NA
2000,229000,100000,184000,NA
2001,167000,89000,137000,NA
2002,156000,98600,113000,NA
2003,115000,80500,139000,NA
2004,120000,92300,150000,NA
2005,123000,86100,148000,NA
2006,164000,88700,148000,NA
2007,180000,90600,148000,NA
2008,193000,94000,148000,NA
2009,123932,104855,148000,NA
2010,153000,135000,148000,NA
2011,159667,140883,154450,NA
2012,175108,154507,169385,NA
2013,164229,144908,158862,NA
2014,176161,155436,170404,NA
2015,180372,159151,174477,NA
2016,165282,145837,159881,NA
2017,181775,160390,175835,NA
2018,189846,167511,183642,NA
2019,147034,129736,142229,NA
"NA - Not Available for product type, aggregated along with ferrosilicon (25-55% Si)",,,,
