Table 4-79:  CO2 Emissions from Aluminum Production (MMT CO2 Eq. and kt),,,
,,,
,Year,MMT CO2 Eq.,kt
,1990,6.8,6831
,1991,6.9,6945
,1992,6.8,6804
,1993,6.2,6211
,1994,5.5,5539
,1995,5.7,5659
,1996,6.0,5987
,1997,6.0,6019
,1998,6.2,6191
,1999,6.3,6286
,2000,6.1,6086
,2001,4.4,4382
,2002,4.5,4491
,2003,4.5,4502
,2004,4.2,4231
,2005,4.1,4142
,2006,3.8,3801
,2007,4.3,4251
,2008,4.5,4477
,2009,3.0,3009
,2010,2.7,2722
,2011,3.3,3292
,2012,3.4,3439
,2013,3.3,3255
,2014,2.8,2833
,2015,2.8,2767
,2016,1.3,1334
,2017,1.2,1205
,2018,1.5,1451
,2019,1.9,1880
