Table 4-81:  PFC Emissions from Aluminum Production (kt),,,
,,,
,Year,CF4,C2F6
,1990,2.4,0.3
,1991,2.0,0.2
,1992,1.9,0.2
,1993,1.8,0.2
,1994,1.6,0.2
,1995,1.6,0.2
,1996,1.6,0.2
,1997,1.5,0.1
,1998,1.2,0.1
,1999,1.2,0.1
,2000,1.2,0.1
,2001,0.5,0.0
,2002,0.7,0.1
,2003,0.5,0.1
,2004,0.4,0.0
,2005,0.4,0.0
,2006,0.3,0.0
,2007,0.5,0.1
,2008,0.4,0.1
,2009,0.2,0.0
,2010,0.2,0.0
,2011,0.4,0.1
,2012,0.3,0.1
,2013,0.3,0.1
,2014,0.3,0.1
,2015,0.2,+
,2016,0.1,+
,2017,0.1,+
,2018,0.2,+
,2019,0.2,+
,+ Does not exceed 0.05 kt.,,
