Table 4-89:  Lead Production (Metric Tons),,,
,,,
,Year,Primary,Secondary
,1990,404000,922000
,1991,345900,885000
,1992,304800,916000
,1993,334900,893000
,1994,351400,931000
,1995,374000,1020000
,1996,326000,1070000
,1997,343000,1110000
,1998,337000,1120000
,1999,350000,1110000
,2000,341000,1130000
,2001,290000,1090000
,2002,262000,1100000
,2003,245000,1140000
,2004,148000,1130000
,2005,143000,1150000
,2006,153000,1160000
,2007,123000,1180000
,2008,135000,1140000
,2009,103000,1110000
,2010,115000,1140000
,2011,118000,1130000
,2012,111000,1110000
,2013,114000,1150000
,2014,1000,1020000
,2015,0,1050000
,2016,0,1110000
,2017,0,1140000
,2018,0,1140000
,2019,0,1200000
