Table 4-9:  Adjusted Lime Production (kt),,,
,Year,High-Calcium,Dolomitic
,1990,12466,2800
,1991,12343,2740
,1992,12796,2823
,1993,13225,2922
,1994,13750,3011
,1995,14645,3197
,1996,15355,3334
,1997,15629,3446
,1998,16224,3308
,1999,15567,3509
,2000,15432,3495
,2001,15082,3093
,2002,14495,2922
,2003,15462,2985
,2004,15762,3515
,2005,15721,3522
,2006,16730,3436
,2007,16335,3160
,2008,16111,3081
,2009,13034,2213
,2010,14694,2937
,2011,15367,3051
,2012,15060,3167
,2013,15297,3232
,2014,15699,3135
,2015,14670,2945
,2016,13816,2816
,2017,13923,3043
,2018,14174,3196
,2019,13074,3087
,Note: Minus water content of hydrated lime.,,
