Table 4-92:  Zinc Production (Metric Tons),,,,
,,,,
,Year,Primary,Secondary,Total
,1990,262704,95708,358412
,1991,253282,122457,375739
,1992,271867,127623,399490
,1993,240000,141000,381000
,1994,216600,139000,355600
,1995,231840,131000,362840
,1996,225400,140000,365400
,1997,226700,147000,373700
,1998,233900,134000,367900
,1999,241100,131000,372100
,2000,227800,143000,370800
,2001,203000,108000,311000
,2002,181800,113000,294800
,2003,186900,166000,352900
,2004,188200,156000,344200
,2005,191120,156000,347120
,2006,113000,156000,269000
,2007,121000,157000,278000
,2008,125000,161000,286000
,2009,94000,109000,203000
,2010,120000,129000,249000
,2011,110000,138000,248000
,2012,114000,147000,261000
,2013,106000,127000,233000
,2014,110000,70000,180000
,2015,122857,49143,172000
,2016,111000,15000,126000
,2017,117000,15000,132000
,2018,101000,15000,116000
,2019,101000,19000,120000
