"Table 4-94:  PFC, HFC, SF6, NF3, and N2O Emissions from Electronics Manufacture[1] (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CF4,0.8,0.8,0.8,1.1,1.2,1.5,1.6,1.7,2.1,2.2,2.0,1.5,1.2,1.1,1.1,1.1,1.1,1.2,1.1,0.8,1.1,1.5,1.4,1.3,1.5,1.5,1.5,1.6,1.7,1.6
,C2F6,2.0,2.0,2.0,2.4,2.7,3.4,3.8,4.0,4.9,5.0,3.8,2.7,2.8,2.4,2.2,2.0,2.1,2.0,1.7,1.1,1.4,1.9,1.7,1.5,1.4,1.3,1.2,1.2,1.1,0.9
,C3F8,+,+,+,+,+,+,+,+,+,+,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,c-C4F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,HFC-23,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3
,SF6,0.5,0.5,0.5,0.6,0.7,0.9,1.0,1.0,1.2,1.3,1.0,0.7,0.6,0.7,0.7,0.7,0.7,0.5,0.4,0.3,0.4,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8
,NF3,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.6
,Other F-GHGs,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Total F-GHGs,3.6,3.6,3.6,4.5,4.9,6.2,6.9,7.3,8.9,9.0,7.6,5.4,5.5,5.2,4.9,4.6,5.1,4.6,4.2,3.1,3.9,5.2,4.8,4.4,4.6,4.7,4.7,4.6,4.8,4.3
,N2O[2],0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2
,"HFC, PFC and SF6 F-HTFs",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.005,0.007,0.010,0.012,0.015,0.019,0.022,0.026,0.022,0.018,0.024,0.015,0.026,0.019,0.018,0.021,0.022,0.029
,MEMS,0.000,0.001,0.002,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.009,0.010,0.011,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.015,0.005,0.007,0.006,0.005,0.006,0.008,0.011
,PV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.004,0.005,0.005,0.006,0.007,0.009,0.022,0.022,0.022,0.022,0.022,0.026,0.033,0.029,0.029,0.029,0.029
,Total,3.6,3.6,3.6,4.5,5.0,6.3,6.9,7.3,9.0,9.1,7.7,5.4,5.6,5.3,5.1,4.8,5.3,4.9,4.5,3.3,4.1,5.5,5.1,4.7,4.9,5.0,5.0,4.9,5.1,4.6
,+ Does not exceed 0.5 kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1] An extremely small portion of emissions included in the totals for Electronics Manufacture are from the manufacturing of MEMS and photovoltaic cells.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2] Emissions of N2O from semiconductor manufacturing are reported in the CRF under 2H3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
