Table 5-1:  Emissions from Agriculture (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,7.1,7.3,6.9,6.4,6.8,7.0,7.0,7.0,7.7,7.5,7.5,7.8,8.5,8.3,7.6,7.9,7.9,8.2,8.6,7.2,8.6,8.0,10.3,8.4,8.1,8.5,8.0,8.1,7.4,7.8
,Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3.0,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.3,4.4,4.5,4.7,4.9,5.1,5.2,5.3
,Liming,4.7,5.0,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5.0,4.6,3.9,4.3,4.2,4.5,5.0,3.7,4.8,3.9,6.0,3.9,3.6,3.7,3.1,3.1,2.2,2.4
,CH4,218.2,220.3,223.7,228.8,233.3,239.2,237.5,234.6,238.0,238.8,238.3,235.4,238.7,236.3,232.2,239.3,238.7,247.3,242.9,243.1,246.1,240.2,239.7,234.8,234.7,241.4,248.1,251.0,255.7,256.4
,Enteric Fermentation,164.7,164.9,169.7,172.1,175.2,179.1,177.9,174.6,172.7,172.8,171.0,170.0,170.3,170.5,167.3,169.3,172.0,174.9,174.3,173.4,171.8,169.3,167.1,165.9,164.6,166.9,172.2,175.8,178.0,178.6
,Manure Management,37.1,38.9,37.5,39.2,42.0,43.3,42.4,44.3,47.8,47.9,48.0,49.6,50.3,50.6,48.9,51.6,51.6,56.0,54.1,53.1,54.9,55.2,57.0,54.7,54.3,57.9,59.6,59.9,61.7,62.4
,Rice Cultivation,16.0,16.1,16.1,17.1,15.7,16.5,16.7,15.4,17.1,17.7,19.0,15.4,17.7,14.7,15.6,18.0,14.7,15.9,14.1,16.2,18.9,15.3,15.2,13.8,15.4,16.2,15.8,14.9,15.6,15.1
,Field Burning of Agricultural Residues,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,N2O,330.1,319.0,316.8,340.1,322.2,328.3,337.4,328.4,332.4,324.9,311.0,333.1,331.1,332.5,344.7,329.9,325.9,336.9,333.2,337.8,341.7,329.3,309.9,357.4,367.2,366.2,348.4,346.4,357.9,364.4
,Agricultural Soil Management,315.9,304.6,302.4,325.9,307.2,313.1,322.2,313.0,316.9,308.8,294.5,316.7,314.3,315.6,328.4,313.4,308.7,319.5,316.0,320.7,324.5,311.9,292.4,339.9,349.7,348.5,330.1,327.6,338.2,344.6
,Manure Management,14.0,14.2,14.2,14.0,14.8,15.1,15.1,15.2,15.4,16.0,16.4,16.2,16.6,16.7,16.1,16.4,17.1,17.2,17.0,16.9,17.0,17.2,17.3,17.3,17.3,17.5,18.1,18.7,19.4,19.6
,Field Burning of Agricultural Residues,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Total,555.3,546.6,547.4,575.4,562.2,574.6,581.9,570.0,578.1,571.2,556.9,576.3,578.3,577.0,584.5,577.1,572.5,592.4,584.8,588.2,596.3,577.5,559.8,600.5,610.0,616.1,604.4,605.5,621.0,628.6
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
